id_contrato,uasg,ano_assinatura,tipo_objeto,uso_copiloto_ia,experiencia_gestor_anos,valor_contrato,duracao_planejada_dias,tempo_observado_dias,evento_rescisao
CTR_2019000067,150018,2024,TI Tradicional,0,6,884970.22,365,365,0
CTR_2019000068,150011,2022,TI Tradicional,0,4,861041.01,1095,1095,0
CTR_2019000069,150050,2022,TI Tradicional,0,9,2382104.94,730,730,0
CTR_2019000070,150078,2025,TI Tradicional,1,16,285023.92,365,365,0
CTR_2019000071,150065,2019,Inovação,0,8,17157224.15,365,365,0
CTR_2019000072,150006,2025,Inovação,0,11,7197475.18,365,365,0
CTR_2019000073,150060,2021,TI Tradicional,0,7,1268961.91,1095,1095,0
CTR_2019000074,150040,2023,Inovação,0,9,2267656.4,730,730,0
CTR_2019000075,150080,2020,TI Tradicional,0,10,424302.28,365,365,0
CTR_2019000076,150044,2024,TI Tradicional,1,9,2865975.51,365,365,0
CTR_2019000077,150090,2020,TI Tradicional,0,7,614957.88,730,730,0
CTR_2019000078,150029,2019,TI Tradicional,0,6,1702086.13,365,365,0
CTR_2019000079,150077,2022,TI Tradicional,0,12,1635999.73,365,365,0
CTR_2019000080,150053,2021,TI Tradicional,0,9,3538527.7,730,730,0
CTR_2019000081,150004,2021,TI Tradicional,0,7,439530.93,365,365,0
CTR_2019000082,150011,2023,Inovação,0,7,8581564.08,1095,1005,1
CTR_2019000083,150011,2022,TI Tradicional,0,8,750863.95,730,730,0
CTR_2019000084,150072,2021,TI Tradicional,0,5,4628265.8,1095,1095,0
CTR_2019000085,150029,2023,TI Tradicional,0,3,154992.03,365,365,0
CTR_2019000086,150011,2022,TI Tradicional,0,9,5064096.94,1095,1095,0
CTR_2019000087,150022,2022,TI Tradicional,0,14,800498.27,1095,1095,0
CTR_2019000088,150093,2021,TI Tradicional,0,4,209821.99,365,365,0
CTR_2019000089,150053,2019,TI Tradicional,0,4,1459456.39,1095,1095,0
CTR_2019000090,150039,2020,TI Tradicional,0,10,1218812.83,1825,1825,0
CTR_2019000091,150076,2023,TI Tradicional,0,13,294719.63,365,365,0
CTR_2019000092,150047,2024,TI Tradicional,0,10,1285590.67,730,730,0
CTR_2019000093,150051,2019,TI Tradicional,0,10,1259645.23,365,365,0
CTR_2019000094,150073,2024,TI Tradicional,0,6,1227668.26,365,365,0
CTR_2019000095,150064,2022,TI Tradicional,0,4,1512539.54,365,365,0
CTR_2019000096,150002,2023,TI Tradicional,1,7,201014.82,730,730,0
CTR_2019000097,150013,2022,TI Tradicional,0,11,1233415.77,730,730,0
CTR_2019000098,150025,2023,TI Tradicional,1,10,1742845.76,1095,1095,0
CTR_2019000099,150023,2024,TI Tradicional,0,3,288995.07,1825,1825,0
CTR_2019000100,150039,2024,TI Tradicional,1,8,369405.89,1825,1825,0
CTR_2019000101,150078,2022,TI Tradicional,0,7,2431658.77,365,365,0
CTR_2019000102,150069,2023,TI Tradicional,1,8,2007413.39,365,365,0
CTR_2019000103,150073,2025,TI Tradicional,1,6,1590442.48,365,365,0
CTR_2019000104,150024,2022,TI Tradicional,0,4,204791.79,1460,1460,0
CTR_2019000105,150076,2020,Inovação,0,8,6439105.55,1095,536,1
CTR_2019000106,150078,2025,TI Tradicional,0,10,1414963.07,1095,1095,0
CTR_2019000107,150004,2020,TI Tradicional,0,4,1984684.68,365,365,0
CTR_2019000108,150095,2020,TI Tradicional,0,5,1567816.76,730,730,0
CTR_2019000109,150055,2025,TI Tradicional,0,15,415842.29,1460,1460,0
CTR_2019000110,150099,2020,TI Tradicional,0,11,903454.12,1825,1825,0
CTR_2019000111,150062,2023,TI Tradicional,0,6,2781865.46,365,365,0
CTR_2019000112,150036,2023,TI Tradicional,1,8,2074970.56,365,365,0
CTR_2019000113,150072,2020,TI Tradicional,0,8,151162.73,365,365,0
CTR_2019000114,150019,2021,Inovação,0,1,2822978.58,730,730,0
CTR_2019000115,150092,2023,TI Tradicional,0,7,1628986.48,1825,1825,0
CTR_2019000116,150032,2020,TI Tradicional,0,7,2439409.4,730,730,0
CTR_2019000117,150037,2019,TI Tradicional,0,11,670349.43,365,365,0
CTR_2019000118,150077,2019,TI Tradicional,0,4,169832.04,365,365,0
CTR_2019000119,150003,2023,TI Tradicional,1,8,2332454.39,730,730,0
CTR_2019000120,150002,2025,Inovação,0,9,4589380.54,730,398,1
CTR_2019000121,150065,2022,TI Tradicional,0,8,998291.03,365,365,0
CTR_2019000122,150032,2024,TI Tradicional,0,5,181204.18,730,311,1
CTR_2019000123,150090,2020,TI Tradicional,0,10,693870.64,1095,1095,0
CTR_2019000124,150077,2020,TI Tradicional,0,8,1656016.74,730,730,0
CTR_2019000125,150024,2023,TI Tradicional,1,3,1134508.73,365,365,0
CTR_2019000126,150011,2022,TI Tradicional,0,6,2893174.58,365,365,0
CTR_2019000127,150097,2023,TI Tradicional,1,10,929271.34,365,365,0
CTR_2019000128,150094,2023,TI Tradicional,1,8,2459790.45,1825,1825,0
CTR_2019000129,150083,2024,Inovação,1,13,1507259.76,365,97,1
CTR_2019000130,150021,2020,TI Tradicional,0,7,815056.45,730,730,0
CTR_2019000131,150024,2022,TI Tradicional,0,12,2121473.48,365,365,0
CTR_2019000132,150047,2021,TI Tradicional,0,8,617239.9,1095,1095,0
CTR_2019000133,150094,2021,TI Tradicional,0,17,3313286.33,365,365,0
CTR_2019000134,150017,2021,TI Tradicional,0,7,994093.04,1460,1460,0
CTR_2019000135,150056,2021,Inovação,0,9,7115542.4,730,730,0
CTR_2019000136,150090,2023,TI Tradicional,0,3,231264.57,365,365,0
CTR_2019000137,150076,2022,TI Tradicional,0,10,3352639.92,1460,1460,0
CTR_2019000138,150029,2022,TI Tradicional,0,5,1237009.96,365,35,1
CTR_2019000139,150081,2020,TI Tradicional,0,7,526773.14,1095,1095,0
CTR_2019000140,150098,2024,TI Tradicional,1,10,2500256.76,1095,1095,0
CTR_2019000141,150035,2025,TI Tradicional,1,7,158507.49,365,365,0
CTR_2019000142,150018,2024,TI Tradicional,0,10,5222778.08,1460,1460,0
CTR_2019000143,150073,2019,TI Tradicional,0,5,1969862.6,1095,1095,0
CTR_2019000144,150052,2024,TI Tradicional,1,2,2287853.99,730,730,0
CTR_2019000145,150003,2025,TI Tradicional,0,13,4714918.18,730,730,0
CTR_2019000146,150028,2021,TI Tradicional,0,10,334030.44,1095,1095,0
CTR_2019000147,150006,2020,TI Tradicional,0,2,664044.62,730,730,0
CTR_2019000148,150018,2025,TI Tradicional,0,6,3706242.58,730,730,0
CTR_2019000149,150025,2019,TI Tradicional,0,3,1151374.0,730,91,1
CTR_2019000150,150087,2022,TI Tradicional,0,3,513603.55,730,730,0
CTR_2019000151,150023,2024,TI Tradicional,1,5,155498.44,365,365,0
CTR_2019000152,150029,2024,TI Tradicional,1,8,440472.31,1095,1095,0
CTR_2019000153,150082,2021,TI Tradicional,0,2,986121.63,1825,1825,0
CTR_2019000154,150014,2022,TI Tradicional,0,4,1099630.4,365,365,0
CTR_2019000155,150057,2025,TI Tradicional,0,11,1658275.04,1095,1095,0
CTR_2019000156,150069,2022,TI Tradicional,0,7,1163656.18,1095,1095,0
CTR_2019000157,150077,2020,TI Tradicional,0,4,1880301.06,730,315,1
CTR_2019000158,150022,2023,TI Tradicional,0,9,1644347.98,1460,1460,0
CTR_2019000159,150005,2025,TI Tradicional,0,7,1377569.17,365,47,1
CTR_2019000160,150033,2024,TI Tradicional,0,7,902816.57,1095,1095,0
CTR_2019000161,150037,2019,Inovação,0,8,2622170.33,730,730,0
CTR_2019000162,150081,2021,TI Tradicional,0,8,399922.57,1095,1095,0
CTR_2019000163,150041,2019,TI Tradicional,0,9,943260.11,365,365,0
CTR_2019000164,150054,2019,TI Tradicional,0,4,176454.38,365,365,0
CTR_2019000165,150020,2020,TI Tradicional,0,1,5762791.24,1095,974,1
CTR_2019000166,150093,2023,TI Tradicional,1,7,2017302.44,365,365,0
CTR_2019000167,150025,2021,TI Tradicional,0,10,784245.88,730,730,0
CTR_2019000168,150099,2023,Inovação,1,4,12110661.54,730,730,0
CTR_2019000169,150098,2019,TI Tradicional,0,7,641154.03,1095,333,1
CTR_2019000170,150007,2022,TI Tradicional,0,7,831063.28,365,365,0
CTR_2019000171,150072,2021,TI Tradicional,0,12,606566.86,730,730,0
CTR_2019000172,150042,2020,TI Tradicional,0,6,494116.78,1095,1095,0
CTR_2019000173,150090,2025,TI Tradicional,1,10,533640.42,1460,1460,0
CTR_2019000174,150083,2020,TI Tradicional,0,12,261184.74,1095,1095,0
CTR_2019000175,150072,2021,Inovação,0,10,5730377.54,1460,994,1
CTR_2019000176,150072,2022,TI Tradicional,0,12,152029.23,365,365,0
CTR_2019000177,150094,2023,TI Tradicional,0,7,983756.92,730,730,0
CTR_2019000178,150073,2019,TI Tradicional,0,6,556749.82,730,730,0
CTR_2019000179,150072,2022,Inovação,0,9,561842.25,1095,1095,0
CTR_2019000180,150015,2022,TI Tradicional,0,9,2358943.76,730,491,1
CTR_2019000181,150050,2019,TI Tradicional,0,11,2306063.59,730,730,0
CTR_2019000182,150087,2021,TI Tradicional,0,4,1668407.6,365,365,0
CTR_2019000183,150051,2025,TI Tradicional,0,7,2509366.86,365,365,0
CTR_2019000184,150061,2023,TI Tradicional,1,9,1098402.52,1095,1095,0
CTR_2019000185,150082,2020,TI Tradicional,0,6,908483.83,365,365,0
CTR_2019000186,150007,2022,TI Tradicional,0,8,867771.62,1095,1095,0
CTR_2019000187,150022,2024,TI Tradicional,1,2,232666.75,365,365,0
CTR_2019000188,150034,2025,Inovação,0,5,3906123.29,1460,1460,0
CTR_2019000189,150060,2024,TI Tradicional,1,11,4815774.59,730,730,0
CTR_2019000190,150021,2024,TI Tradicional,0,3,701896.35,1460,1460,0
CTR_2019000191,150050,2024,TI Tradicional,0,9,3641452.62,365,365,0
CTR_2019000192,150003,2025,TI Tradicional,1,3,365295.68,365,365,0
CTR_2019000193,150065,2024,TI Tradicional,0,11,2155794.2,730,730,0
CTR_2019000194,150003,2022,Inovação,0,11,505815.37,730,176,1
CTR_2019000195,150008,2021,TI Tradicional,0,8,727896.96,1095,1095,0
CTR_2019000196,150019,2022,TI Tradicional,0,12,1809970.2,1460,1460,0
CTR_2019000197,150034,2022,Inovação,0,5,1753821.98,730,470,1
CTR_2019000198,150072,2021,TI Tradicional,0,8,482600.74,1095,1095,0
CTR_2019000199,150089,2025,TI Tradicional,1,8,2318107.21,365,365,0
CTR_2019000200,150096,2023,TI Tradicional,0,13,577896.49,730,730,0
CTR_2019000201,150047,2023,TI Tradicional,1,4,1090246.59,1095,1095,0
CTR_2019000202,150057,2021,TI Tradicional,0,11,1285056.36,1095,1095,0
CTR_2019000203,150007,2023,TI Tradicional,1,13,188012.53,365,365,0
CTR_2019000204,150099,2019,TI Tradicional,0,9,1851029.1,365,365,0
CTR_2019000205,150053,2020,TI Tradicional,0,4,1035301.95,365,365,0
CTR_2019000206,150017,2021,Inovação,0,10,3115574.82,1460,1460,0
CTR_2019000207,150001,2022,TI Tradicional,0,3,731782.14,1460,240,1
CTR_2019000208,150061,2022,TI Tradicional,0,7,571886.69,1460,1460,0
CTR_2019000209,150002,2019,TI Tradicional,0,8,180489.29,365,365,0
CTR_2019000210,150013,2022,Inovação,0,12,2427789.43,365,365,0
CTR_2019000211,150085,2022,TI Tradicional,0,9,243093.8,365,365,0
CTR_2019000212,150083,2019,TI Tradicional,0,9,2316874.08,1825,579,1
CTR_2019000213,150090,2024,TI Tradicional,1,7,1905972.31,730,730,0
CTR_2019000214,150045,2021,TI Tradicional,0,5,423829.65,1460,1460,0
CTR_2019000215,150100,2024,TI Tradicional,0,8,3591199.57,1095,1095,0
CTR_2019000216,150083,2021,TI Tradicional,0,9,377372.77,365,365,0
CTR_2019000217,150094,2021,TI Tradicional,0,9,408051.87,1095,1095,0
CTR_2019000218,150061,2024,TI Tradicional,1,7,4479626.66,1825,1825,0
CTR_2019000219,150043,2022,Inovação,0,3,7730969.18,365,365,0
CTR_2019000220,150004,2025,Inovação,0,4,626678.06,365,365,0
CTR_2019000221,150097,2022,TI Tradicional,0,5,757503.85,365,365,0
CTR_2019000222,150042,2021,TI Tradicional,0,3,1688793.88,730,730,0
CTR_2019000223,150013,2025,TI Tradicional,0,3,390068.91,365,365,0
CTR_2019000224,150088,2022,TI Tradicional,0,6,3183557.7,730,528,1
CTR_2019000225,150036,2019,TI Tradicional,0,14,596330.7,365,365,0
CTR_2019000226,150008,2020,TI Tradicional,0,10,1563159.79,365,316,1
CTR_2019000227,150099,2019,TI Tradicional,0,4,608590.18,365,365,0
CTR_2019000228,150013,2023,TI Tradicional,0,1,650758.23,1460,1460,0
CTR_2019000229,150090,2022,TI Tradicional,0,3,933041.62,730,651,1
CTR_2019000230,150063,2020,Inovação,0,6,3264192.18,365,365,0
CTR_2019000231,150027,2021,TI Tradicional,0,5,2217664.77,730,730,0
CTR_2019000232,150039,2019,TI Tradicional,0,8,334074.21,1460,1460,0
CTR_2019000233,150008,2025,TI Tradicional,1,11,4086908.31,1095,1095,0
CTR_2019000234,150050,2020,TI Tradicional,0,8,3860410.17,365,365,0
CTR_2019000235,150010,2023,TI Tradicional,0,6,2978487.34,365,365,0
CTR_2019000236,150061,2019,TI Tradicional,0,8,1418652.35,1095,1095,0
CTR_2019000237,150096,2021,TI Tradicional,0,4,965820.04,365,365,0
CTR_2019000238,150018,2025,TI Tradicional,1,7,2632575.26,730,730,0
CTR_2019000239,150049,2022,TI Tradicional,0,5,3726360.0,730,730,0
CTR_2019000240,150073,2021,Inovação,0,9,3715847.55,365,365,0
CTR_2019000241,150062,2021,TI Tradicional,0,5,5474080.7,730,730,0
CTR_2019000242,150065,2023,TI Tradicional,0,10,1872499.17,1095,1095,0
CTR_2019000243,150062,2021,Inovação,0,11,9819321.83,365,365,0
CTR_2019000244,150058,2020,TI Tradicional,0,9,1913161.05,730,730,0
CTR_2019000245,150099,2024,Inovação,1,3,782958.42,365,365,0
CTR_2019000246,150068,2019,TI Tradicional,0,11,1187403.9,365,31,1
CTR_2019000247,150008,2022,TI Tradicional,0,6,1008011.96,1095,1095,0
CTR_2019000248,150089,2020,TI Tradicional,0,5,2989801.38,1825,1825,0
CTR_2019000249,150022,2020,TI Tradicional,0,11,398937.35,365,365,0
CTR_2019000250,150078,2020,TI Tradicional,0,5,465599.97,1460,1460,0
CTR_2019000251,150089,2021,TI Tradicional,0,8,1077884.07,730,730,0
CTR_2019000252,150075,2022,TI Tradicional,0,11,214146.71,365,365,0
CTR_2019000253,150071,2019,TI Tradicional,0,3,1085160.28,1095,1095,0
CTR_2019000254,150090,2019,Inovação,0,11,506995.08,730,730,0
CTR_2019000255,150059,2021,TI Tradicional,0,9,4290167.21,730,730,0
CTR_2019000256,150051,2023,TI Tradicional,1,10,1123005.67,365,365,0
CTR_2019000257,150048,2019,Inovação,0,5,6671179.98,730,730,0
CTR_2019000258,150036,2019,TI Tradicional,0,5,181488.94,730,730,0
CTR_2019000259,150012,2025,Inovação,1,7,3751570.57,365,365,0
CTR_2019000260,150097,2023,TI Tradicional,1,7,212420.36,365,365,0
CTR_2019000261,150011,2023,TI Tradicional,0,6,510067.27,730,730,0
CTR_2019000262,150080,2021,TI Tradicional,0,5,2405530.22,365,365,0
CTR_2019000263,150046,2019,TI Tradicional,0,8,721176.95,730,730,0
CTR_2019000264,150002,2020,TI Tradicional,0,1,526590.87,365,365,0
CTR_2019000265,150040,2022,TI Tradicional,0,8,4062379.3,365,365,0
CTR_2019000266,150013,2024,TI Tradicional,0,8,239488.88,1095,1095,0
CTR_2019000267,150021,2024,TI Tradicional,1,13,531816.58,365,365,0
CTR_2019000268,150084,2024,TI Tradicional,0,6,160854.54,730,730,0
CTR_2019000269,150013,2020,TI Tradicional,0,7,725256.78,365,365,0
CTR_2019000270,150055,2024,TI Tradicional,0,5,744492.74,730,730,0
CTR_2019000271,150028,2023,TI Tradicional,1,13,1412710.9,365,365,0
CTR_2019000272,150026,2024,TI Tradicional,0,5,618256.54,365,365,0
CTR_2019000273,150059,2023,TI Tradicional,0,10,916133.69,1460,1460,0
CTR_2019000274,150096,2020,Inovação,0,9,6612901.49,1460,1460,0
CTR_2019000275,150094,2021,TI Tradicional,0,8,345063.52,365,365,0
CTR_2019000276,150060,2019,TI Tradicional,0,1,3175436.77,1095,1095,0
CTR_2019000277,150091,2023,TI Tradicional,0,10,393516.04,365,365,0
CTR_2019000278,150071,2023,Inovação,0,14,5258089.15,730,450,1
CTR_2019000279,150071,2024,TI Tradicional,1,10,344307.08,365,365,0
CTR_2019000280,150001,2025,Inovação,0,14,1512621.6,365,244,1
CTR_2019000281,150041,2024,TI Tradicional,1,4,238932.71,365,365,0
CTR_2019000282,150016,2019,TI Tradicional,0,5,677794.95,365,365,0
CTR_2019000283,150060,2023,TI Tradicional,0,7,1847686.28,365,365,0
CTR_2019000284,150017,2019,TI Tradicional,0,4,218300.44,365,365,0
CTR_2019000285,150056,2019,TI Tradicional,0,9,1845047.57,1095,863,1
CTR_2019000286,150054,2024,TI Tradicional,1,3,775045.36,365,365,0
CTR_2019000287,150066,2021,TI Tradicional,0,10,1106291.72,365,365,0
CTR_2019000288,150052,2024,TI Tradicional,0,10,286733.91,1460,1460,0
CTR_2019000289,150063,2019,Inovação,0,8,684530.62,365,365,0
CTR_2019000290,150004,2022,TI Tradicional,0,10,673309.71,730,730,0
CTR_2019000291,150091,2019,TI Tradicional,0,5,1125214.95,365,365,0
CTR_2019000292,150003,2022,TI Tradicional,0,5,1791957.43,365,365,0
CTR_2019000293,150024,2020,Inovação,0,11,15614259.14,365,365,0
CTR_2019000294,150042,2024,TI Tradicional,0,8,1181734.04,365,365,0
CTR_2019000295,150052,2025,TI Tradicional,1,8,251218.6,1095,1095,0
CTR_2019000296,150018,2019,TI Tradicional,0,9,358165.93,365,365,0
CTR_2019000297,150007,2023,TI Tradicional,1,9,456208.36,1825,1825,0
CTR_2019000298,150050,2024,TI Tradicional,0,9,3598280.6,365,206,1
CTR_2019000299,150001,2025,TI Tradicional,0,6,1009050.45,1460,224,1
CTR_2019000300,150075,2022,TI Tradicional,0,5,1214224.97,730,730,0
CTR_2019000301,150067,2023,TI Tradicional,1,7,5549164.83,365,365,0
CTR_2019000302,150094,2025,TI Tradicional,1,6,198324.02,365,365,0
CTR_2019000303,150074,2024,TI Tradicional,1,9,540166.45,730,730,0
CTR_2019000304,150069,2020,TI Tradicional,0,9,164391.75,365,365,0
CTR_2019000305,150015,2023,TI Tradicional,0,9,1255567.08,365,365,0
CTR_2019000306,150028,2021,TI Tradicional,0,2,293754.19,365,365,0
CTR_2019000307,150052,2022,TI Tradicional,0,2,3102139.59,730,545,1
CTR_2019000308,150081,2020,TI Tradicional,0,8,388638.78,730,730,0
CTR_2019000309,150051,2022,TI Tradicional,0,5,6574015.66,365,186,1
CTR_2019000310,150085,2019,TI Tradicional,0,9,2320802.36,730,730,0
CTR_2019000311,150027,2022,TI Tradicional,0,10,213033.31,1095,1095,0
CTR_2019000312,150008,2021,TI Tradicional,0,2,685312.85,365,365,0
CTR_2019000313,150044,2025,TI Tradicional,1,10,4292256.66,365,365,0
CTR_2019000314,150076,2019,TI Tradicional,0,2,3066820.14,1460,1460,0
CTR_2019000315,150021,2023,Inovação,0,9,1611369.15,730,730,0
CTR_2019000316,150085,2021,TI Tradicional,0,1,2211422.64,730,730,0
CTR_2019000317,150082,2022,TI Tradicional,0,6,1135160.3,1460,156,1
CTR_2019000318,150022,2020,TI Tradicional,0,6,1390885.64,365,230,1
CTR_2019000319,150095,2021,TI Tradicional,0,15,3053182.43,730,730,0
CTR_2019000320,150070,2022,TI Tradicional,0,12,876298.32,730,730,0
CTR_2019000321,150064,2020,TI Tradicional,0,7,169940.99,365,365,0
CTR_2019000322,150096,2021,TI Tradicional,0,13,959602.6,1095,1095,0
CTR_2019000323,150058,2025,TI Tradicional,0,10,508502.89,730,730,0
CTR_2019000324,150081,2024,TI Tradicional,0,11,661991.45,365,365,0
CTR_2019000325,150071,2020,TI Tradicional,0,3,943363.95,730,53,1
CTR_2019000326,150004,2022,TI Tradicional,0,11,382395.21,1095,1095,0
CTR_2019000327,150093,2024,TI Tradicional,0,10,2553301.48,1095,1095,0
CTR_2019000328,150011,2021,TI Tradicional,0,5,210813.38,730,730,0
CTR_2019000329,150023,2021,TI Tradicional,0,7,4008458.73,365,365,0
CTR_2019000330,150044,2024,TI Tradicional,1,9,273731.19,1460,1460,0
CTR_2019000331,150027,2021,TI Tradicional,0,6,3687992.63,365,365,0
CTR_2019000332,150015,2022,TI Tradicional,0,8,2299135.08,730,730,0
CTR_2019000333,150082,2019,TI Tradicional,0,9,392176.16,1460,1460,0
CTR_2019000334,150010,2020,TI Tradicional,0,5,259886.61,1095,1095,0
CTR_2019000335,150099,2024,Inovação,0,9,2301409.31,365,365,0
CTR_2019000336,150086,2023,TI Tradicional,0,4,652111.67,365,248,1
CTR_2019000337,150056,2024,Inovação,0,2,1378119.31,730,730,0
CTR_2019000338,150028,2024,TI Tradicional,0,5,1862974.35,730,730,0
CTR_2019000339,150038,2024,TI Tradicional,0,4,468667.26,730,730,0
CTR_2019000340,150015,2023,TI Tradicional,0,3,290515.26,1825,1825,0
CTR_2019000341,150080,2022,TI Tradicional,0,11,1179986.79,1460,1460,0
CTR_2019000342,150030,2022,TI Tradicional,0,4,1982428.05,365,365,0
CTR_2019000343,150052,2023,TI Tradicional,0,6,1208145.93,1095,1095,0
CTR_2019000344,150078,2022,TI Tradicional,0,8,3784472.62,1095,1025,1
CTR_2019000345,150048,2023,TI Tradicional,1,10,406968.03,365,365,0
CTR_2019000346,150007,2023,TI Tradicional,1,7,1186105.55,365,365,0
CTR_2019000347,150049,2020,TI Tradicional,0,7,2965043.11,365,365,0
CTR_2019000348,150001,2024,TI Tradicional,0,13,1203752.95,365,365,0
CTR_2019000349,150097,2021,TI Tradicional,0,5,732007.43,365,365,0
CTR_2019000350,150017,2022,TI Tradicional,0,4,178301.41,730,730,0
CTR_2019000351,150044,2024,TI Tradicional,0,6,1648939.31,730,730,0
CTR_2019000352,150028,2021,TI Tradicional,0,7,1485183.75,730,730,0
CTR_2019000353,150063,2023,TI Tradicional,1,8,1031338.89,1460,1460,0
CTR_2019000354,150076,2019,TI Tradicional,0,5,347962.38,1460,1460,0
CTR_2019000355,150001,2022,Inovação,0,12,4128439.43,365,325,1
