numero_contrato,uasg,orgao_nome,porte_orgao,tipo_servico,data_inicio,data_fim_planejado,data_fim_real,dias_vigencia_original,dias_prorrogados,valor_inicial,valor_atual,quantidade_aditivos,atrasado,cancelado,motivo_cancelamento,overrun_percentual,fracasso_institucional,score_risco_fracasso,predito_fracasso
CONTRATO-2022-10022,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Nuvem e Infraestrutura de TI,2022-08-31,2024-11-01,2026-06-24,793,600,2808208.06,3986491.83,5,0,0,Nenhum,0.4196,1,0.19782662332295484,0
CONTRATO-2022-10023,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Desenvolvimento de Software Customizado,2022-05-01,2023-11-21,2023-11-21,569,0,4315708.6,4315708.6,0,0,0,Nenhum,0.0,0,0.33999324147067206,0
CONTRATO-2026-10024,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Licenças de Software Proprietário,2026-06-11,2027-07-10,2027-07-10,394,0,232635.9,232635.9,0,0,0,Nenhum,0.0,0,0.026168420921253092,0
CONTRATO-2023-10025,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Suporte Técnico e Manutenção,2023-07-17,2024-07-24,2024-07-24,373,0,580566.86,580566.86,0,0,0,Nenhum,0.0,0,0.05048659761393453,0
CONTRATO-2021-10026,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Nuvem e Infraestrutura de TI,2021-10-28,2023-10-26,2023-10-26,728,0,3311634.49,3311634.49,0,0,0,Nenhum,0.0,0,0.12666715279544202,0
CONTRATO-2024-10027,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Licenças de Software Proprietário,2024-04-27,2025-02-03,2025-02-03,282,0,342897.71,342897.71,0,0,0,Nenhum,0.0,0,0.0319034744878722,0
CONTRATO-2023-10028,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Nuvem e Infraestrutura de TI,2023-08-06,2025-08-21,2025-08-21,746,0,2559569.88,2559569.88,0,0,0,Nenhum,0.0,0,0.0901910837079557,0
CONTRATO-2024-10029,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Hardware e Equipamentos de Rede,2024-01-14,2025-02-07,2025-02-07,390,0,834668.65,834668.65,0,0,0,Nenhum,0.0,0,0.11019346690887781,0
CONTRATO-2025-10030,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Consultoria e Projetos de Inovação,2025-01-06,2025-12-17,2025-12-17,345,0,1042842.68,1042842.68,0,0,0,Nenhum,0.0,0,0.1407760481741063,0
CONTRATO-2024-10031,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Desenvolvimento de Software Customizado,2024-12-12,2026-07-14,2027-04-10,579,270,3492417.22,4662171.93,3,0,0,Nenhum,0.3349,1,0.6389569859028315,1
CONTRATO-2023-10032,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Hardware e Equipamentos de Rede,2023-04-13,2024-03-24,2024-10-27,346,217,899608.35,947703.4,2,1,0,Nenhum,0.0535,1,0.3352850358147619,0
CONTRATO-2024-10033,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Suporte Técnico e Manutenção,2024-09-06,2025-10-12,2025-10-12,401,0,480527.16,480527.16,0,0,0,Nenhum,0.0,0,0.060611458013529615,0
CONTRATO-2024-10034,170010,Base Aérea de Brasília (BABR),Médio,Hardware e Equipamentos de Rede,2024-08-15,2025-09-06,2025-09-08,387,2,965920.73,340764.41,1,0,1,Inexecução Total,-0.6472,1,0.14994340251668042,0
CONTRATO-2021-10035,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Hardware e Equipamentos de Rede,2021-10-26,2022-10-29,2022-10-29,368,0,940165.0,940165.0,0,0,0,Nenhum,0.0,0,0.023450282454040593,0
CONTRATO-2026-10036,170010,Base Aérea de Brasília (BABR),Médio,Hardware e Equipamentos de Rede,2026-04-02,2027-03-19,2027-06-17,351,90,1252777.64,1301203.65,1,0,0,Nenhum,0.0387,0,0.0763751014075968,0
CONTRATO-2023-10037,170010,Base Aérea de Brasília (BABR),Médio,Licenças de Software Proprietário,2023-09-04,2024-08-13,2024-08-13,344,0,408859.64,408859.64,0,0,0,Nenhum,0.0,0,0.09405888742547097,0
CONTRATO-2025-10038,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Licenças de Software Proprietário,2025-02-01,2025-12-31,2025-12-31,333,0,416855.64,416855.64,0,0,0,Nenhum,0.0,0,0.011598087469359777,0
CONTRATO-2025-10039,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Nuvem e Infraestrutura de TI,2025-03-16,2027-03-16,2027-03-16,730,0,3666967.71,3666967.71,0,0,0,Nenhum,0.0,0,0.17784875498033373,0
CONTRATO-2025-10040,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Nuvem e Infraestrutura de TI,2025-06-15,2027-06-25,2027-07-12,740,17,2769670.62,1761438.87,1,0,1,Decisão Judicial,-0.364,1,0.3295293770674522,0
CONTRATO-2021-10041,170010,Base Aérea de Brasília (BABR),Médio,Consultoria e Projetos de Inovação,2021-08-31,2022-09-20,2023-06-17,385,270,1135548.79,1555828.39,3,0,0,Nenhum,0.3701,1,0.24613181855625463,0
CONTRATO-2024-10042,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Consultoria e Projetos de Inovação,2024-05-28,2025-05-30,2025-05-30,367,0,905056.9,905056.9,0,0,0,Nenhum,0.0,0,0.33344235422939145,0
CONTRATO-2023-10043,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Consultoria e Projetos de Inovação,2023-07-11,2024-08-06,2024-10-11,392,66,1202587.33,705888.27,2,0,1,Consensual,-0.413,1,0.37830492256131776,0
CONTRATO-2026-10044,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Hardware e Equipamentos de Rede,2026-11-14,2027-10-13,2027-12-14,333,62,959853.45,557183.06,0,0,1,Inexecução Total,-0.4195,1,0.38340335130974146,0
CONTRATO-2021-10045,170010,Base Aérea de Brasília (BABR),Médio,Suporte Técnico e Manutenção,2021-12-07,2022-11-15,2022-11-15,343,0,780143.09,780143.09,0,0,0,Nenhum,0.0,0,0.13497797104439882,0
CONTRATO-2025-10046,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Hardware e Equipamentos de Rede,2025-09-12,2026-11-08,2027-02-06,422,90,595899.8,599503.19,1,0,0,Nenhum,0.006,0,0.08500739204576296,0
CONTRATO-2023-10047,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Consultoria e Projetos de Inovação,2023-08-23,2024-07-06,2024-07-06,318,0,1372135.01,1372135.01,0,0,0,Nenhum,0.0,0,0.15563533604702667,0
CONTRATO-2023-10048,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Consultoria e Projetos de Inovação,2023-10-10,2024-08-22,2024-08-22,317,0,1730520.94,1730520.94,0,0,0,Nenhum,0.0,0,0.22135710697767005,0
CONTRATO-2026-10049,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Licenças de Software Proprietário,2026-08-28,2027-10-09,2027-10-09,407,0,428637.54,428637.54,0,0,0,Nenhum,0.0,0,0.14851152160318423,0
CONTRATO-2021-10050,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Licenças de Software Proprietário,2021-06-30,2022-04-28,2022-04-28,302,0,504052.83,504052.83,0,0,0,Nenhum,0.0,0,0.017855610756095847,0
CONTRATO-2022-10051,170010,Base Aérea de Brasília (BABR),Médio,Nuvem e Infraestrutura de TI,2022-04-08,2024-04-16,2024-04-16,739,0,2996016.21,2996016.21,0,0,0,Nenhum,0.0,0,0.17241911349565123,0
CONTRATO-2022-10052,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Hardware e Equipamentos de Rede,2022-04-28,2023-03-18,2023-03-18,324,0,1031336.63,1031336.63,0,0,0,Nenhum,0.0,0,0.03824771894778294,0
CONTRATO-2022-10053,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Suporte Técnico e Manutenção,2022-07-14,2023-07-06,2023-07-06,357,0,665749.87,665749.87,0,0,0,Nenhum,0.0,0,0.09552867428855905,0
CONTRATO-2023-10054,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Licenças de Software Proprietário,2023-06-17,2024-08-01,2024-08-01,411,0,376676.05,376676.05,0,0,0,Nenhum,0.0,0,0.06047238364404833,0
CONTRATO-2023-10055,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Hardware e Equipamentos de Rede,2023-12-15,2024-12-24,2024-12-24,375,0,595369.79,595369.79,0,0,0,Nenhum,0.0,0,0.12069182259705752,0
CONTRATO-2025-10056,170010,Base Aérea de Brasília (BABR),Médio,Desenvolvimento de Software Customizado,2025-03-08,2026-09-07,2026-09-07,548,0,2789668.0,2789668.0,0,0,0,Nenhum,0.0,0,0.26149630774729027,0
CONTRATO-2022-10057,170010,Base Aérea de Brasília (BABR),Médio,Desenvolvimento de Software Customizado,2022-12-26,2024-05-08,2024-07-07,499,60,3069419.86,3132482.16,1,0,0,Nenhum,0.0205,0,0.26512733859023063,0
CONTRATO-2023-10058,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Suporte Técnico e Manutenção,2023-06-22,2024-07-05,2024-09-03,379,60,441726.91,461712.57,1,0,0,Nenhum,0.0452,0,0.18816242312634335,0
CONTRATO-2025-10059,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Nuvem e Infraestrutura de TI,2025-08-28,2027-08-23,2027-08-23,725,0,2445609.98,2445609.98,0,0,0,Nenhum,0.0,0,0.17879721134315074,0
CONTRATO-2025-10060,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Hardware e Equipamentos de Rede,2025-02-17,2026-02-14,2026-02-14,362,0,884350.12,884350.12,0,0,0,Nenhum,0.0,0,0.10907081877509237,0
CONTRATO-2022-10061,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Desenvolvimento de Software Customizado,2022-08-04,2024-03-20,2024-03-20,594,0,4750201.31,4750201.31,0,0,0,Nenhum,0.0,0,0.2024780321560613,0
CONTRATO-2025-10062,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Consultoria e Projetos de Inovação,2025-05-24,2026-05-16,2026-05-16,357,0,1370902.49,1370902.49,0,0,0,Nenhum,0.0,0,0.13476641194680006,0
CONTRATO-2023-10063,170010,Base Aérea de Brasília (BABR),Médio,Suporte Técnico e Manutenção,2023-08-01,2024-08-13,2024-09-12,378,30,414586.56,418093.53,1,0,0,Nenhum,0.0085,0,0.07681597799228033,0
CONTRATO-2021-10064,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Licenças de Software Proprietário,2021-12-16,2022-12-10,2023-01-09,359,30,349663.42,356315.97,1,0,0,Nenhum,0.019,0,0.02865683120169729,0
CONTRATO-2025-10065,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Licenças de Software Proprietário,2025-09-16,2026-10-19,2026-11-18,398,30,585580.94,590781.28,1,0,0,Nenhum,0.0089,0,0.08142514347684297,0
CONTRATO-2025-10066,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Licenças de Software Proprietário,2025-05-30,2026-05-24,2026-05-24,359,0,399956.91,399956.91,0,0,0,Nenhum,0.0,0,0.04805900034981676,0
CONTRATO-2022-10067,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Desenvolvimento de Software Customizado,2022-04-30,2023-10-08,2023-10-08,526,0,4678308.74,4678308.74,0,0,0,Nenhum,0.0,0,0.34771756985992863,0
CONTRATO-2025-10068,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Consultoria e Projetos de Inovação,2025-09-24,2026-12-16,2027-07-12,448,208,1598496.63,1682382.82,2,1,0,Nenhum,0.0525,1,0.4355750537923398,0
CONTRATO-2025-10069,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Desenvolvimento de Software Customizado,2025-02-18,2026-07-31,2026-07-31,528,0,3114248.45,3114248.45,0,0,0,Nenhum,0.0,0,0.39734272858352304,0
CONTRATO-2021-10070,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Hardware e Equipamentos de Rede,2021-02-07,2022-02-25,2022-02-25,383,0,853683.28,853683.28,0,0,0,Nenhum,0.0,0,0.03126533397832109,0
CONTRATO-2021-10071,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Consultoria e Projetos de Inovação,2021-06-18,2022-05-26,2022-05-26,342,0,963473.3,963473.3,0,0,0,Nenhum,0.0,0,0.10976970868036603,0
CONTRATO-2021-10072,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Suporte Técnico e Manutenção,2021-10-03,2022-08-31,2022-09-30,332,30,821892.54,853734.41,1,0,0,Nenhum,0.0387,0,0.02820751625270419,0
CONTRATO-2025-10073,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Hardware e Equipamentos de Rede,2025-08-25,2026-08-24,2026-08-24,364,0,939933.13,939933.13,0,0,0,Nenhum,0.0,0,0.12059387064862498,0
CONTRATO-2026-10074,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Consultoria e Projetos de Inovação,2026-07-13,2027-08-04,2027-08-04,387,0,1608307.65,1608307.65,0,0,0,Nenhum,0.0,0,0.26674318890890786,0
CONTRATO-2024-10075,170010,Base Aérea de Brasília (BABR),Médio,Consultoria e Projetos de Inovação,2024-02-19,2025-03-30,2025-07-31,405,123,1311516.83,1476796.66,1,1,0,Nenhum,0.126,1,0.43330184543632766,0
CONTRATO-2021-10076,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Desenvolvimento de Software Customizado,2021-08-02,2023-01-08,2023-04-03,524,85,4020115.59,2560277.84,1,0,1,Inexecução Total,-0.3631,1,0.40800052913282164,0
CONTRATO-2024-10077,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Hardware e Equipamentos de Rede,2024-12-16,2025-11-13,2025-11-13,332,0,823034.61,823034.61,0,0,0,Nenhum,0.0,0,0.04639890722536372,0
CONTRATO-2026-10078,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Hardware e Equipamentos de Rede,2026-04-16,2027-03-24,2027-04-23,342,30,925258.58,935033.62,1,0,0,Nenhum,0.0106,0,0.01972437865469815,0
CONTRATO-2026-10079,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Consultoria e Projetos de Inovação,2026-12-24,2027-12-15,2027-12-15,356,0,1013168.71,1013168.71,0,0,0,Nenhum,0.0,0,0.1424995400885067,0
CONTRATO-2026-10080,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Suporte Técnico e Manutenção,2026-01-04,2027-01-20,2027-02-19,381,30,316938.71,331589.36,1,0,0,Nenhum,0.0462,0,0.07799173789043853,0
CONTRATO-2021-10081,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Licenças de Software Proprietário,2021-08-10,2022-07-20,2022-07-20,344,0,357793.94,357793.94,0,0,0,Nenhum,0.0,0,0.20233535734857036,0
CONTRATO-2026-10082,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Hardware e Equipamentos de Rede,2026-04-30,2027-06-14,2027-06-14,410,0,632711.0,632711.0,0,0,0,Nenhum,0.0,0,0.1016213066331947,0
CONTRATO-2025-10083,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Nuvem e Infraestrutura de TI,2025-06-01,2027-06-27,2027-09-25,756,90,2707340.23,2755301.29,1,0,0,Nenhum,0.0177,0,0.08262696413212087,0
CONTRATO-2021-10084,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Licenças de Software Proprietário,2021-07-22,2022-08-29,2022-09-28,403,30,611967.52,640020.28,1,0,0,Nenhum,0.0458,0,0.0758202292900707,0
CONTRATO-2023-10085,120040,Companhia Nacional de Abastecimento (CONAB),Pequeno,Licenças de Software Proprietário,2023-08-25,2024-08-08,2024-08-08,349,0,537850.61,537850.61,0,0,0,Nenhum,0.0,0,0.07931556937890145,0
CONTRATO-2021-10086,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Consultoria e Projetos de Inovação,2021-05-07,2022-09-10,2023-02-07,491,150,1148029.31,1296882.75,2,1,0,Nenhum,0.1297,1,0.6992033098422813,1
CONTRATO-2024-10087,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Suporte Técnico e Manutenção,2024-11-01,2025-10-06,2025-10-06,339,0,584263.16,584263.16,0,0,0,Nenhum,0.0,0,0.08377970898545359,0
CONTRATO-2022-10088,170010,Base Aérea de Brasília (BABR),Médio,Licenças de Software Proprietário,2022-07-03,2023-07-13,2023-10-11,375,90,666599.07,692395.06,1,0,0,Nenhum,0.0387,0,0.08828775782563061,0
CONTRATO-2025-10089,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Licenças de Software Proprietário,2025-04-08,2026-04-05,2026-04-05,362,0,397703.74,397703.74,0,0,0,Nenhum,0.0,0,0.07923634255355867,0
CONTRATO-2022-10090,200005,"Ministério da Ciência, Tecnologia e Inovação (MCTI)",Grande,Consultoria e Projetos de Inovação,2022-07-23,2023-07-20,2023-07-20,362,0,1761425.69,1761425.69,0,0,0,Nenhum,0.0,0,0.1731769515581948,0
CONTRATO-2021-10091,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Desenvolvimento de Software Customizado,2021-03-11,2022-09-14,2022-09-14,552,0,4351873.29,4351873.29,0,0,0,Nenhum,0.0,0,0.2846009951309008,0
CONTRATO-2025-10092,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Nuvem e Infraestrutura de TI,2025-07-17,2027-07-13,2028-11-04,726,480,2485524.16,3407811.25,4,0,0,Nenhum,0.3711,1,0.2540623594693549,0
CONTRATO-2023-10093,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Consultoria e Projetos de Inovação,2023-05-06,2024-03-10,2024-03-10,309,0,2033746.69,2033746.69,0,0,0,Nenhum,0.0,0,0.3771063198386404,0
CONTRATO-2026-10094,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Consultoria e Projetos de Inovação,2026-02-19,2027-01-28,2027-03-29,343,60,1309570.81,1351069.68,1,0,0,Nenhum,0.0317,0,0.22360755261373766,0
CONTRATO-2024-10095,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Nuvem e Infraestrutura de TI,2024-12-17,2026-12-01,2026-12-01,714,0,3972975.98,3972975.98,0,0,0,Nenhum,0.0,0,0.2982049039274758,0
CONTRATO-2024-10096,250001,Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Pequeno,Licenças de Software Proprietário,2024-09-08,2025-08-18,2025-08-18,344,0,376880.9,376880.9,0,0,0,Nenhum,0.0,0,0.1766700099053308,0
CONTRATO-2026-10097,170010,Base Aérea de Brasília (BABR),Médio,Nuvem e Infraestrutura de TI,2026-03-23,2028-02-07,2028-02-07,686,0,4181525.24,4181525.24,0,0,0,Nenhum,0.0,0,0.13220400780541436,0
CONTRATO-2026-10098,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Nuvem e Infraestrutura de TI,2026-08-07,2028-07-03,2028-07-03,696,0,3321280.72,3321280.72,0,0,0,Nenhum,0.0,0,0.14073766604998386,0
CONTRATO-2021-10099,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Hardware e Equipamentos de Rede,2021-03-16,2022-03-19,2022-03-19,368,0,1210977.49,1210977.49,0,0,0,Nenhum,0.0,0,0.09205929984190442,0
CONTRATO-2022-10100,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Hardware e Equipamentos de Rede,2022-05-16,2023-06-20,2023-06-20,400,0,777322.79,777322.79,0,0,0,Nenhum,0.0,0,0.14736770293145202,0
CONTRATO-2023-10101,170010,Base Aérea de Brasília (BABR),Médio,Hardware e Equipamentos de Rede,2023-07-31,2024-09-07,2024-09-07,404,0,629431.36,629431.36,0,0,0,Nenhum,0.0,0,0.07662595993556982,0
CONTRATO-2023-10102,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Desenvolvimento de Software Customizado,2023-09-02,2025-01-31,2025-01-31,517,0,6040571.22,6040571.22,0,0,0,Nenhum,0.0,0,0.32420920851790774,0
CONTRATO-2023-10103,150022,Universidade Federal de Santa Catarina (UFSC),Médio,Suporte Técnico e Manutenção,2023-11-02,2024-11-23,2024-11-23,387,0,564608.1,564608.1,0,0,0,Nenhum,0.0,0,0.06665942188869575,0
CONTRATO-2025-10104,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Nuvem e Infraestrutura de TI,2025-01-09,2026-12-19,2027-02-17,709,60,3449960.77,3546930.69,1,0,0,Nenhum,0.0281,0,0.17264331550388629,0
CONTRATO-2026-10105,201300,Instituto Nacional de Pesquisas Espaciais (INPE),Médio,Hardware e Equipamentos de Rede,2026-09-09,2027-09-05,2027-09-05,361,0,844193.25,844193.25,0,0,0,Nenhum,0.0,0,0.10660214808520424,0
CONTRATO-2021-10106,200001,Ministério da Gestão e da Inovação em Serviços Públicos (MGI),Grande,Suporte Técnico e Manutenção,2021-02-09,2022-02-20,2022-02-20,376,0,852124.66,852124.66,0,0,0,Nenhum,0.0,0,0.026559842271437997,0
CONTRATO-2021-10107,200120,Comissão Nacional de Energia Nuclear (CNEN),Médio,Consultoria e Projetos de Inovação,2021-01-24,2022-01-08,2022-01-08,349,0,1910139.06,1910139.06,0,0,0,Nenhum,0.0,0,0.22787508097832362,0
