doi,titulo,ano,autores,periodico,citacoes,subjects
10.32782/tnu-2663-6468/2024.6/10,USE OF ARTIFICIAL INTELLIGENCE IN DECISION-MAKING IN PUBLIC ADMINISTRATION AND RESPONSIBILITY FOR THEM,2024.0,Nesterenko; Boyko,"""Scientific Notes of Taurida V.I. Vernadsky University"", series ""Public Administration""",2,
10.2139/ssrn.4981386,Explainable AI in National Security: Enhancing Trust and Accountability&amp;nbsp;,2024.0,Yapar,SSRN Electronic Journal,1,
10.4324/9781003168331-14,"Transparency and government accountability in Brexit negotiations
                           1",2021.0,Fox,Accountability and the Law,1,
10.14712/23366478.2024.28,National Report on Automation in Decision-Making in Public Administration in Slovakia,2024.0,Jakab,AUC IURIDICA,1,
10.1007/978-3-031-67900-1_18,"Technical, Medical, and Organizational Innovations in Neonatal Intensive Care in French Public Hospitals and the Transformation of Ethical Decision-Making",2024.0,Honoré; Gillot,Contributions to Public Administration and Public Policy,1,
10.32782/1813-3401.2024.1.29,THE ROLE OF PUBLIC ORGANIZATIONS IN PUBLIC ADMINISTRATION DECISION-MAKING,2024.0,Zaika; Tovstyk,State and regions. Series: Public Administration,1,
10.1007/978-3-319-20928-9_2327,Budgeting and Decision-Making,2018.0,Yamamoto,"Global Encyclopedia of Public Administration, Public Policy, and Governance",1,
10.1007/979-8-8688-0983-5_5,Aligning AI Governance with Other Internal Governance Models for Trustworthy AI: “The Convergence of Governance Frameworks”,2024.0,Sayles,Principles of AI Governance and Model Risk Management,1,
10.1007/979-8-8688-0983-5_9,Integrating AI Governance with Enterprise Governance Risk and Compliance,2024.0,Sayles,Principles of AI Governance and Model Risk Management,1,
10.2139/ssrn.3528951,Accountability Jogya Smart Service Application in Public Sector Services in Yogyakarta 2019,,Fauzi; Setiawan,SSRN Electronic Journal,1,
10.63282/3050-9262.ijaidsml-v3i1p114,"Self-Auditing Deep Learning Pipelines for Automated Compliance Validation with Explainability, Traceability, and Regulatory Assurance",2022.0,Nangi; Obannagari; Settipi,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",1,
10.1007/979-8-8688-0983-5_7,AI Governance and Oversight Model,2024.0,Sayles,Principles of AI Governance and Model Risk Management,1,
10.4337/9781789909951.00018,The development of fiscal transparency in China: a critical review,2020.0,Xiao; Xu,Handbook of Public Policy and Public Administration in China,1,
10.1007/978-3-031-04745-9_8,A Disclosure Theory Approach to Government Transparency: Implications for Accountability in Times of a Pandemic,2022.0,Columbano,"Public Sector Accounting, Financial Accountability and Viability in Times of Crisis",1,
10.29379/jedem.v11i2.537,"Politics, technology, and accountability:  The Transparency Façade of Open Government Data Reforms in Paraguay",2019.0,Riveros García,JeDEM - eJournal of eDemocracy and Open Government,1,
10.7176/ppar/9-2-06,Assessing the Transparency Practices in Public Bidding of Philippine Rice Research Institute in the Philippines,2019.0,,Public Policy and Administration Research,1,
10.2139/ssrn.4785680,Hug-Iml: Interpretable Machine Learning for Decision Support Using High Utility Gain Patterns,,krishnamoorthy,,1,
10.1007/978-3-030-66252-3_2256,Transparency,2022.0,Ingrams,"Global Encyclopedia of Public Administration, Public Policy, and Governance",1,
10.22259/2642-8318.0601001,Algorithmic Decision-Making in Public Administration,2024.0,Panagopoulou,Journal of Public Administration,1,
10.1007/978-3-031-55645-6,Transparency in Science and the Effects on Public Policy,2024.0,Demšar,Library of Public Policy and Public Administration,1,
10.4337/9781803922171.00020,AI and transparency,2024.0,Aula; Erkkilä,Handbook on Public Policy and Artificial Intelligence,1,
10.4337/9781789909951.00020,Authoritarian transparency: a comparative survey on open government information regulations in China,2020.0,Lin,Handbook of Public Policy and Public Administration in China,1,
10.1093/oxfordhb/9780190916329.013.52,Organizing Healthcare Transparency,2023.0,Levay,The Oxford Handbook of Governance and Public Management for Social Policy,1,
10.4324/9781003295945-12,Machine learning algorithms and public decision-making,2023.0,van Krimpen; de Bruijn; Arnaboldi,The Routledge Handbook of Public Sector Accounting,1,
10.52783/jes.749,Explainable AI for Adversarial Machine Learning: Enhancing Transparency and Trust in Cyber Security,2024.0,"Araddhana Arvind Deshmukh,",Journal of Electrical Systems,1,
10.71435/610498,Enhancing Ethical Decision-Making in Public Administration Through Ethics Training and Organizational Culture,2023.0,Anuang,Journal Social Civilecial,1,
10.51219/jaimld/praveen-kumar/130,"Explainable AI/ML Testing: Ensuring Transparency, Accountability, and Compliance",2023.0,Kumar,"Journal of Artificial Intelligence, Machine Learning and Data Science",1,
10.63282/3050-9262.ijaidsml-v1i4p105,The Age of Explainable AI: Improving Trust and Transparency in AI Models,2020.0,,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",1,
10.4324/9781003282839-23,E-governance,2023.0,Behrooz; Meijer,Public Management and Governance,1,
10.18333/kpar.54.1.261,Incorporating Machine Learning into Public Administration: The Role of Evidence-Based Decision-Making,2020.0,Kim; Eun,Korean Public Administration Review,1,
10.1007/978-3-030-66252-3_2112,Decision-Making in Nonprofit Organizations,2022.0,Remington,"Global Encyclopedia of Public Administration, Public Policy, and Governance",1,
10.7176/ejbm/14-20-06,The Role of Public Sector Accounting on Accountability in Public Institutions in Ghana,2022.0,,European Journal of Business and Management,1,
10.20944/preprints202310.1936.v1,Exploring the Essence of Public Financial Accountability in the Public Sector: A Qualitative Analysis,,Igboke; Raj,,1,
10.1007/978-3-031-04745-9_1,The Contribution of Public Sector Accounting and Public Financial Management During and After Times of Crisis,2022.0,Dabbicco; Bisogno; Caruana; Christiaens,"Public Sector Accounting, Financial Accountability and Viability in Times of Crisis",1,
10.1007/978-3-319-20928-9_2893,Governance in Crisis Management,2018.0,Demiroz,"Global Encyclopedia of Public Administration, Public Policy, and Governance",1,
10.1007/978-3-031-04745-9,"Public Sector Accounting, Financial Accountability and Viability in Times of Crisis",2022.0,,,1,
10.32702/2307-2156-2020.3.39,FEATURES OF DECISION MAKING IN PUBLIC ADMINISTRATION,2020.0,Briushkova; Nikoliuk; Udovytsia,Derzhavne upravlinnya: udoskonalennya ta rozvytok,1,
10.71274/ijpp.v12i6.498,AI-Based Framework for Government Oversight of Personal Data Consent Compliance: A Case Study of Nairobi County,2024.0,Musyoka; Mutua; Tocho,International Journal of Professional Practice,1,
10.5220/0012951100003838,Charting the Transformation of Enterprise Information Management: AI Explainability and Transparency in EIM Practice,2024.0,Zhang; Scifleet,"Proceedings of the 16th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",1,
10.5937/bizinfo2202109d,Public oversight over audit as a determinant of its quality,2022.0,Đorđević; Đukić,BizInfo Blace,1,
10.1377/forefront.20240703.824037,AI And Health Insurance Prior Authorization: Regulators Need To Step Up Oversight,2024.0,,Forefront Group,1,
10.25115/eea.v39i4.4573,An Independent Audit Oversight System in a Developing Country,2021.0,Mustapha; Yan Kong,Studies of Applied Economics,1,
10.2139/ssrn.3617349,Frameworks For Improving AI Explainability Using Accountability Through Regulation and Design,,Shah,SSRN Electronic Journal,1,
10.1007/978-3-319-31816-5_1800-1,New Public Management and Governance,2021.0,Khatun,"Global Encyclopedia of Public Administration, Public Policy, and Governance",1,
10.4324/9781003114925-15,Accountability,2020.0,Halligan,Australian Handbook of Public Sector Management,1,
10.1007/978-3-030-66252-3_25,Comprehensive Model of Decision-Making,2022.0,Prunty,"Global Encyclopedia of Public Administration, Public Policy, and Governance",1,
10.4324/9781351059671-1,Rethinking Public Service Management and Renewing Democracy,2018.0,Pestoff,Co-Production and Public Service Management,1,
10.4337/9781800375499.public.management,Public Management and Education Governance,2022.0,Voisin,Elgar Encyclopedia of Public Management,1,
10.4324/9781003282839-12,Human resource management in public service organizations,2023.0,Ritz; Knies,Public Management and Governance,1,
10.4337/9781803928241.00010,"AI explainability, interpretability, and transparency",2024.0,Fenoglio; Kazim,The Elgar Companion to Applied AI Ethics,1,
10.1007/978-3-031-56964-7_1,Introduction: Public Sector Management and Economic Governance Revisited,2024.0,Ayee,Public Sector Management and Economic Governance in Ghana,1,
10.2139/ssrn.4812940,National Audit Oversight and Foreign Investment,2024.0,Blann; Lamoreaux; Larson,SSRN Electronic Journal,1,
10.1177/00195561221128625,Using Intuition to Strengthen Administrative Decision-Making,2023.0,Kumar; Taneja,Indian Journal of Public Administration,1,
10.4337/9781803922171.00023,Decolonial critique in AI policy-making and policy analysis,2024.0,Gray,Handbook on Public Policy and Artificial Intelligence,1,
10.4324/9781003282839-13,Public services and management in the digital age,2023.0,Lember; Crompvoets,Public Management and Governance,1,
10.28986/jtaken.v10i2.1779,International evidence: Supreme Audit Institution oversight and government governance roles in achieving Sustainable Development Goal 1,2024.0,Awalia; Abdullah; Furqan; Megawati,Jurnal Tata Kelola dan Akuntabilitas Keuangan Negara,1,
10.2308/ciia-2022-041,Is Audit Quality Higher When Audit Committees Report Strong Oversight?,2024.0,Bratten; Causholli; Sulcaj,Current Issues in Auditing,1,
10.1007/978-3-319-20928-9_2492,Knowledge Management and Governance,2018.0,Hossain,"Global Encyclopedia of Public Administration, Public Policy, and Governance",1,
10.1007/978-3-031-67900-1_8,A Framework to Evaluate the Transparency in Public e-Procurement,2024.0,Nguyen,Contributions to Public Administration and Public Policy,1,
10.2991/aebmr.k.200305.222,Implementation of Public Accountability and Transparency at Non-Government Organizations at the Local Level,2020.0,Putra,"Proceedings of the International Conference on Public Administration, Policy and Governance (ICPAPG 2019)",1,
10.1007/978-3-319-31816-5_4130-1,Transparency in South American Central Governments,2020.0,Hermosa; Jorge; Urquía-Grande; del Campo,"Global Encyclopedia of Public Administration, Public Policy, and Governance",1,
10.2139/ssrn.4991713,Enhancing the Transparency of Data and ML Models Using Explainable AI (XAI),2024.0,Pillai,SSRN Electronic Journal,1,
10.1787/c891abbf-en,"Constructive accountability, transparency and trust between government and highly autonomous schools in Flanders",2019.0,,OECD Education Working Papers,1,
10.2139/ssrn.4461219,"AI Ethics and Policymaking: Rawlsian Approaches to Democratic Participation, Transparency, Accountability, and Prediction",2023.0,Bay,SSRN Electronic Journal,1,
10.1016/b978-0-32-391919-7.00021-4,AI assurance using causal inference: application to public policy,2023.0,Svetovidov; Rahman; Batarseh,AI Assurance,1,
10.2139/ssrn.3986213,Public Sector AI Transparency Standard,,Kingsman; Kazim; Chaudhry; Hilliard; Koshiyama; Polle; Pavey; Mohammed,SSRN Electronic Journal,1,
10.2478/nispa-2020-0007,The Transparency of Czech Foundations,2020.0,Pejcal,NISPAcee Journal of Public Administration and Policy,1,
10.31219/osf.io/ku6nm,"Ethical Considerations in AI-Integrated Meters: Addressing Bias, Transparency, and Accountability",,aboluwarin; Potter,,1,
10.21203/rs.3.rs-3937355/v1,Transparency in Decision-making: the Role of Explainable Ai (Xai) in Customer Churn Analysis,,ÖZKURT,,1,
10.1515/9781501522635-012,Chapter 11: Transparency and Accountability,2024.0,,Data Ethics in the Age of AI,0,
10.1145/3603178.3603189,Transparency and Accountability of AI Algorithms,2023.0,,From Algorithms to Thinking Machines,0,
10.55763/ippr.2023.04.05.001,Digitalization for Public Expenditure Accountability and Transparency (d4PEAT),2023.0,Iyer; Chowdhury,Indian Public Policy Review,0,
10.1007/978-3-031-33005-6_11,Global Pressures in Policymaking: Insights from the Extractive Industries Transparency Initiative and Ghana’s Petroleum Industry,2024.0,Siakwah; Lawer,International Series on Public Policy,0,
10.1007/978-3-030-66252-3_4130,Transparency in South American Central Governments,2022.0,Hermosa; Jorge; Urquía-Grande; del Campo,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.26226/m.6657251f918878861e1bd7fe,Unveiling Transparency: one strategy to enhance AI Transparency in Radiology.,,Reis; Gutierrez; Liu; Sharma,,0,
10.46692/9781447325376.014,Transparency 1.0,2022.0,,Transparency and the Open Society,0,
10.46692/9781447325376.027,Transparency 3.0,2022.0,,Transparency and the Open Society,0,
10.26481/marble.2018.v4.640,"The State of Open Government Data in Dutch Municipalities: Transparency, Accountability &amp; Innovation",2018.0,Dijk,MaRBLe,0,
10.2139/ssrn.3850628,A Disclosure Approach to Government Transparency: Implications for Accountability and Standard-Setting,,Columbano,SSRN Electronic Journal,0,
10.52783/jes.8814,Explainable AI in E-Commerce: Seller Recommendations with Ethnocentric Transparency,2024.0,Tauqeer Akhtar,Journal of Electrical Systems,0,
10.2139/ssrn.4265865,Rapid Demining Of Karabakh Requires Transparency And Accountability From The Government Of Azerbaijan,,Ibadoghlu,SSRN Electronic Journal,0,
10.3138/9781487529055-009,9 Data Transparency and Rare Disease: Privacy versus Public Interest?,2021.0,Ghimire; Lemmens,"Transparency, Power, and Influence in the Pharmaceutical Industry",0,
10.37547/supsci-ojhpl-02-02-17,PUBLIC RELATIONS IS AN IMPORTANT FACTOR IN ENSURING OPENNESS AND TRANSPARENCY IN SOCIETY,2022.0,; Nazarov,"Oriental Journal of History, Politics and Law",0,
10.1093/oso/9780192848789.003.0006,Transparency,2022.0,Boswell,Magical Thinking in Public Policy,0,
10.4324/9781003282839-15,Process and quality management in public service organisations,2023.0,Schedler; Helmuth,Public Management and Governance,0,
10.4324/9781315172569-1,Governance,2018.0,Morrell; Bradford,Policing and Public Management,0,
10.4324/9781351059671-10,Co-Production and Public Administration Regimes,2018.0,Pestoff,Co-Production and Public Service Management,0,
10.56251/jdep2475,SAI Latvia Collaborates with Internal Auditors on Oversight,2021.0,Republic of Latvia,International Journal of Government Auditing,0,
10.1596/31615,Reporting by Audit Oversight Bodies,2018.0,,,0,
10.2139/ssrn.4915921,"Local Oversight by State Audit
&lt;br&gt;",,Rosenbaum,,0,
10.3366/edinburgh/9781474450225.003.0006,Improving Government Oversight of Intelligence Contractors,2019.0,Van Puyvelde,Outsourcing US Intelligence,0,
10.2139/ssrn.4387707,Is Audit Quality Higher when Audit Committees Say They Exercise Strong Oversight?,2023.0,Bratten; Causholli; Sulcaj,SSRN Electronic Journal,0,
10.1515/9781553395430-016,Oversight and Audit,2019.0,,Canadian Public-Sector Financial Management,0,
10.1007/978-3-031-59854-8_9,Audit Opinion and Auditor’s Report,2024.0,Löw; Heyd,The Audit Failures of the Wirecard Scandal,0,
10.1007/978-3-031-59854-8_2,Fundamental Principles of an Audit,2024.0,Löw; Heyd,The Audit Failures of the Wirecard Scandal,0,
10.1007/979-8-8688-0983-5_10,AI Policy Management and Enforcement,2024.0,Sayles,Principles of AI Governance and Model Risk Management,0,
10.1007/978-3-030-66252-3_2492,Knowledge Management and Governance,2022.0,Hossain,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.31602/ijpgm.v1i1.17095,Political And Economic Aspects Of Public Administration In Ukraine,2024.0,Zhayvko; Panchenko,IJPGM: International Journal of Public Governance and Management,0,
10.4324/9781003282839-24,Understanding public leadership,2023.0,Hartley,Public Management and Governance,0,
10.4324/9781003282839-9,Strategic management and marketing in public service organizations,2023.0,Bovaird,Public Management and Governance,0,
10.5958/2321-2136.2023.00008.5,New public governance and post-new public management reforms in India,2023.0,Kundu,Public Affairs And Governance,0,
10.4324/9781003282839-11,Conceptual revolutions in public financial management,2023.0,Chan; Ma,Public Management and Governance,0,
10.63044/s24tak07,Explainable AI Framework for Model Predictive Control in Energy Management Systems,2024.0,Takahashi; Ichikawa; Ooka,2024 ASHRAE Annual Conference,0,
10.1007/978-3-319-20928-9_3314,Governance of Disaster Management,2018.0,Bongiovanni; Fischbacher-Smith,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_3314,Governance of Disaster Management,2022.0,Bongiovanni; Fischbacher-Smith,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.2139/ssrn.4662882,Transforming China's Audit Oversight System within a Socialist-Market Dynamic,,Yang; Dellaportas; Huang; Shuai,,0,
10.21203/rs.3.rs-5294647/v1,Enhancing Public Finance Accountability: A Comprehensive Analysis of Parliamentary Oversight on Audit Reports in Bangladesh,,Jubaer,,0,
10.32840/1813-3401.2020.2.9,SPECIFICITY OF DECISION MAKING IN THE FIELD OF PUBLIC MANAGEMENT OF CULTURE,2020.0,Voronov,States and Regions. Series: Public Administration,0,
10.32782/pma2663-5240-2024.39.1,PUBLICITY IN ADMINISTRATIVE DECISION-MAKING IN THE CONTEXT OF DIGITALIZATION,2024.0,Voityk,Public management and administration in Ukraine,0,
10.1111/puar.13403,Institutional Effects on Decision Making on Public Lands: An Interagency Examination of Wildfire Management,2021.0,Reiners,Public Administration Review,0,
10.4018/978-1-7998-6807-1.ch005,Legislative Decision-Making and Same-Sex Marriage,2022.0,,Advances in Public Policy and Administration,0,
10.32782/2310-9653-2023-1.9,Eurointegration innovative marketing in the activities of officials in the field of youth policy decision-making,2023.0,Mishchuk; Adamovska,Public administration and customs administration,0,
10.1007/978-3-030-66252-3_26,Mixed Scanning Model of Decision-Making in Organizations,2022.0,Etzioni,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.32782/1813-3401.2024.1.1,NEW MODELS AND EFFECTIVE PRACTICES OF PUBLIC PARTICIPATION IN DECISION-MAKING,2024.0,Nyniuk; Nyniuk,States and Regions. Series: Public Administration,0,
10.4324/9781315093215-8,Five Conceptual Tools for Decision-Making,2018.0,Wittmer; McGowan,Handbook of Public Administration,0,
10.1007/978-3-319-20928-9_26,Mixed Scanning Model of Decision-Making in Organizations,2018.0,Etzioni,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.4018/978-1-5225-7591-7.ch014,"Analytics, Operations Research, and Strategic Decision Making in the Military",2019.0,Arnhart; King,Advances in Public Policy and Administration,0,
10.4324/9781003198116-9,Decision Making,2021.0,Rosenbloom; Kravchuk; Clerkin,Public Administration,0,
10.21203/rs.3.rs-551277/v1,Group Decision-making Method Based on Grey Relational Analysis and Evidence Theory for XAI,,Sun; Luo,,0,
10.58445/rars.644,Safeguarding Humanity: The Necessitation of an International AI Oversight Agency,,Malladi,,0,
10.63439/xefy3802,Multilevel oversight of AI systems in line with the AI Act,2024.0,; Popa,AI Policy Exchange Forum,0,
10.2139/ssrn.4818270,Trusting What You Can't See: Audit Oversight and the PCAOB,2024.0,Brown,SSRN Electronic Journal,0,
10.2139/ssrn.3525728,Social Audit Reform Options: Towards Auditor Liability and Multi-Stakeholder Oversight,,Wodajo,SSRN Electronic Journal,0,
10.5040/9781509925711.ch-006,Parliaments in International Affairs: Fostering Democracy Through the Oversight of Government Action,2020.0,,Parliamentary Oversight of the Executives,0,
10.2139/ssrn.3722346,Internal Controls and Audit Committee Oversight,,Patterson; Smith; Tiras,SSRN Electronic Journal,0,
10.1007/978-1-4842-7824-6_4,"Ethics, Regulations, and Explainability",2022.0,Haller,Managing AI in the Enterprise,0,
10.1108/s2398-601820230000010029,The Explainability and Transparency of AI Monitoring Tools,2023.0,Kritikos; Iphofen,Ethical AI Surveillance in the Workplace,0,
10.1108/s2398-601820230000010018,Set Up an Oversight Body for Workplace Monitoring and Other Workplace Governance/Oversight Structures,2023.0,Kritikos; Iphofen,Ethical AI Surveillance in the Workplace,0,
10.2139/ssrn.3471444,Navigating through the Spatial and Institutional Contradictions of Public Audit Oversight,,Hazgui; Malsch,SSRN Electronic Journal,0,
10.1515/9781474450249-009,5. Improving Government Oversight of Intelligence Contractors,2019.0,,Outsourcing US Intelligence,0,
10.1007/979-8-8688-0796-1_28,Governance and Oversight of AI Systems,2024.0,Sharma,AI and the Boardroom,0,
10.1093/oso/9780192845290.003.0021,Trustworthy Certification by Independent Oversight,2022.0,Shneiderman,Human-Centered AI,0,
10.1007/978-3-031-59854-8,The Audit Failures of the Wirecard Scandal,2024.0,Löw; Heyd,,0,
10.23919/cisti.2019.8760894,The Audit Oversight in European Union,2019.0,Morais; Gaio; Monteiro,2019 14th Iberian Conference on Information Systems and Technologies (CISTI),0,
10.2139/ssrn.5037549,When AI Is Not Enough: Reducing Diagnostic Errors with Radiologist Oversight,,Cai; Zychlinski,,0,
10.20869/auditf/2019/156/022,Comparative Study at European Level on the Criteria that Determine the Obligation to Audit the Financial Statements and the Organizational Structure of the Statutory Audit Oversight Body,2019.0,; BOTEZ,Audit Financiar,0,
10.29121/web/v18i5/31,"Protecting Cloud Information for Government Oversight
Audits Using a Zero-Knowledge Protocol",2021.0,,Webology,0,
10.63282/3050-9416.ijaibdcms-v5i1p116,"AI Governance in Underwriting and Claims: Responding to 2024 Regulations on Generative AI, Bias Detection, and Explainability in Insurance Decisioning",2024.0,,"International Journal of AI, BigData, Computational and Management Studies",0,
10.7551/mitpress/15782.003.0018,Independent Oversight,2024.0,,Taming Silicon Valley,0,
10.2139/ssrn.3956884,Public Audit Oversight and Corporate Innovation: International Evidence,,Huang; Song; Wei; Zhou,SSRN Electronic Journal,0,
10.19088/k4d.2022.140,Evaluating External Government Audit,2022.0,Khan,,0,
10.22610/imbr.v16i2(i).3730,Evaluating Audit Oversight Board’s Regulatory Impact: Analysis of Sanctions Imposed on Malaysian Audit Firms,2024.0,MOHD ALI; MAHAT; MOHD SEHAT; SHUID; JOHARI,Information Management and Business Review,0,
10.20869/auditf/2020/157/002,„Auditing” the Auditors - Oversight: Necessity or Compulsoriness?,2020.0,; Hategan,Audit Financiar,0,
10.1109/iri54793.2022.00049,Explainability Audit: An Automated Evaluation of Local Explainability in Rooftop Image Classification,2022.0,Don; Boardman; Sayenju; Aygun; Zhang; Franks; Johnston; Lee; Sullivan; Modgil,2022 IEEE 23rd International Conference on Information Reuse and Integration for Data Science (IRI),0,
10.2139/ssrn.4918354,Teaching Mathematical Concepts in Management with Generative AI: The Power of Human Oversight in AI-Driven Learning,,Trindade; Edirisinghe; Luo,,0,
10.4135/9781036232832.n10,"Accountability, Transparency and Ethics",2024.0,,Public Sector Management,0,
10.1017/9781009427500.005,Algorithmic Regulation,2024.0,,Algorithmic Rule By Law,0,
10.1201/9781003382706-5,The emergence of algorithmic auditing in the public sector,2024.0,Morgan,Continuous Auditing with AI in the Public Sector,0,
10.1017/9781009427500.001,Illustrations of Algorithmic Regulation,2024.0,,Algorithmic Rule By Law,0,
10.4324/9781351308045-4,Accountability mechanisms in public sector prisons and their applicability to private prisons,2018.0,Harding,Private Prisons and Public Accountability,0,
10.1596/40949,Armenia Public Sector Accountability Survey: Main Results and Recommendations,2024.0,,,0,
10.4324/9780429400643-9,Public sector accountability and ethics,2019.0,Bhatta,“Those That Fix the Lights”,0,
10.4324/9781003295945-24,Accountability and sustainability in the public sector,2023.0,Gomes; Martins; Castelo Branco,The Routledge Handbook of Public Sector Accounting,0,
10.1017/9781009427500.007,From Rule of Law to Algorithmic Rule by Law,2024.0,,Algorithmic Rule By Law,0,
10.1017/9781009364461.028,Public Sector Accountability,2024.0,,The Political Economy of Education,0,
10.32840/1813-3401.2022.1.6,CITIZENS’ ASSEMBLIES AS A TOOL FOR ENGAGING CITIZENS IN DECISION-MAKING IN FOREIGN COUNTRIES,2022.0,Kokhalyk,States and Regions. Series: Public Administration,0,
10.31618/vadnd.v1i12.92,ADMINISTRATION  DECISION-MAKING  UNDER THE  CONDITIONS  OF  EMERGENCY,2018.0,Terentieva,UKRAINIAN ASSEMBLY OF DOCTORS OF SCIENCES IN PUBLIC ADMINISTRATION,0,
10.1007/978-3-030-66252-3_1800,New Public Management and Governance,2022.0,Khatun,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/979-8-8688-0983-5_11,Maintaining Privacy Within Your AI Governance Model,2024.0,Sayles,Principles of AI Governance and Model Risk Management,0,
10.1007/978-3-030-66252-3_3311,Comparative Public Governance and Management,2022.0,Ongaro,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.4135/9781036232832.n3,Types of Public Sector Governance Arrangements,2024.0,,Public Sector Management,0,
10.2991/icpm-18.2018.38,Holistic governance and Shared cities: new ideas of urban management under the vision of public governance,2018.0,Huang,Proceedings of the Fifth International Conference on Public Management : International Collaboration for Innovated Public Governance (ICPM 2018),0,
10.1007/979-8-8688-0983-5_13,The Power of Stakeholder Engagement in AI Governance,2024.0,Sayles,Principles of AI Governance and Model Risk Management,0,
10.4337/9781800375499.public.governance,Public Governance and Public Management,2022.0,Klausen,Elgar Encyclopedia of Public Management,0,
10.21275/sr22910213254,AI Governance for Dark Data: Ethical Management of Unlabeled and Unstructured Data in AI Systems,2022.0,Abdul Kareem,International Journal of Science and Research (IJSR),0,
10.1007/978-3-030-66252-3_1961,Crisis Management and Governance,2022.0,Velotti,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_2893,Governance in Crisis Management,2022.0,Demiroz,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1017/9781009427500.006,The Rule of Law,2024.0,,Algorithmic Rule By Law,0,
10.69985/vmcb6182,Assembling Accountability: Algorithmic Impact Assessment for the Public Interest,2021.0,Singh; Metcalf; Elish; Moss; Watkins,,0,
10.4018/978-1-5225-3731-1.ch002,Modernization and Accountability in Public-Sector Administration,2018.0,Ökten; Akman; Akman,"Advances in Electronic Government, Digital Divide, and Regional Development",0,
10.32782/1813-3401.2024.1.19,INFLUENCE OF LOBBYING ON DECISION-MAKING BY PUBLIC AUTHORITY BODIES,2024.0,Berezka,State and regions. Series: Public Administration,0,
10.1007/978-3-319-20928-9_25,Comprehensive Model of Decision-Making,2018.0,Prunty,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_2996,Incremental Theory of Decision-Making,2022.0,Harris,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.32836/2310-9653-2021-4.12,Simplification of the decision-making procedure for determining the customs value of goods,2021.0,Krytenko; Totska,Public administration and customs administration,0,
10.1007/978-3-030-66252-3_3385,Decision Making,2022.0,Landsbergen; Raadschelders,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-319-20928-9_2996,Incremental Theory of Decision-Making,2018.0,Harris,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-030-66252-3_3700,Decision-Making in Networks,2022.0,Mohr; Mitchell,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-319-20928-9_2112,Decision-Making in Nonprofit Organizations,2018.0,Remington,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-319-31816-5_3700-1,Decision-Making in Networks,2019.0,Mohr; Mitchell,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.1007/978-3-031-11779-4_2,Accountability and Public Sector Financing in Nigeria,2022.0,Olaniyi,Strengthening Systems Accountability for Enterprise Performance and Development Planning,0,
10.2307/jj.40271752.10,Accountability and Organisational Change,2022.0,,"The Public Sector in Hong Kong, Second Edition",0,
10.4324/9781315121727-12,"Conclusion and globalising accounting, accountability and governance",2018.0,Pilcher,"Public Sector Accounting, Accountability and Governance",0,
10.32400/ja.24281.8.01.2019.42-50,INTELLECTUAL CAPITAL IN PUBLIC SECTOR,2019.0,Budiarso,ACCOUNTABILITY,0,
10.1007/978-3-030-66252-3_3416,Accountability and Accounting: Insights from Russian Public Sector Reform,2022.0,Timoshenko,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.4324/9781003004080-4-6,"Embedding a Risk Management Framework in Public Sector Governance, Performance, and Accountability Practices*",2021.0,Rana,Public Sector Reform and Performance Management in Developed Economies,0,
10.4324/9781003250838-8,Accountability and financial reporting,2023.0,Bandy,Financial Management and Accounting in the Public Sector,0,
10.1007/978-3-319-20928-9_2982,Improving Energy Sector Accountability in Trinidad,2018.0,Mohammed,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
10.4018/978-1-5225-3731-1.ch009,Implications of Accountability Through the Prospect of Integrated Reporting Adoption in the Public Sector,2018.0,Nistor; Oprisor; Crisan,"Advances in Electronic Government, Digital Divide, and Regional Development",0,
10.1007/978-3-030-66252-3_2982,Improving Energy Sector Accountability in Trinidad,2022.0,Mohammed,"Global Encyclopedia of Public Administration, Public Policy, and Governance",0,
