titulo,autores,ano,resumo,link
TradingAgents: Multi-Agents LLM Financial Trading Framework,Yijia Xiao; Edward Sun; Di Luo; Wei Wang,2024,"Significant progress has been made in automated problem-solving using societies of agents powered by large language models (LLMs). In finance, efforts have largely focused on single-agent systems handling specific tasks or multi-agent frameworks independently gathering data. However, the multi-agent systems' potential to replicate real-world trading firms' collaborative dynamics remains underexplored. TradingAgents proposes a novel stock trading framework inspired by trading firms, featuring LLM",http://arxiv.org/abs/2412.20138v7
Understanding Multi-Agent LLM Frameworks: A Unified Benchmark and Experimental Analysis,Abdelghny Orogat; Ana Rostam; Essam Mansour,2026,"Multi-agent LLM frameworks are widely used to accelerate the development of agent systems powered by large language models (LLMs). These frameworks impose distinct architectural structures that govern how agents interact, store information, and coordinate tasks. However, their impact on system performance remains poorly understood. This gap is critical, as architectural choices alone can induce order-of-magnitude differences in latency and throughput, as well as substantial variation in accuracy",http://arxiv.org/abs/2602.03128v1
Pommerman: A Multi-Agent Playground,Cinjon Resnick; Wes Eldridge; David Ha; Denny Britz; Jakob Foerster,2018,"We present Pommerman, a multi-agent environment based on the classic console game Bomberman. Pommerman consists of a set of scenarios, each having at least four players and containing both cooperative and competitive aspects. We believe that success in Pommerman will require a diverse set of tools and methods, including planning, opponent/teammate modeling, game theory, and communication, and consequently can serve well as a multi-agent benchmark. To date, we have already hosted one competition,",http://arxiv.org/abs/1809.07124v2
Quantifying the effects of environment and population diversity in multi-agent reinforcement learning,Kevin R. McKee; Joel Z. Leibo; Charlie Beattie; Richard Everett,2021,"Generalization is a major challenge for multi-agent reinforcement learning. How well does an agent perform when placed in novel environments and in interactions with new co-players? In this paper, we investigate and quantify the relationship between generalization and diversity in the multi-agent domain. Across the range of multi-agent environments considered here, procedurally generating training levels significantly improves agent performance on held-out levels. However, agent performance on t",http://arxiv.org/abs/2102.08370v2
Learning Reward Machines in Cooperative Multi-Agent Tasks,Leo Ardon; Daniel Furelos-Blanco; Alessandra Russo,2023,This paper presents a novel approach to Multi-Agent Reinforcement Learning (MARL) that combines cooperative task decomposition with the learning of reward machines (RMs) encoding the structure of the sub-tasks. The proposed method helps deal with the non-Markovian nature of the rewards in partially observable environments and improves the interpretability of the learnt policies required to complete the cooperative task. The RMs associated with each sub-task are learnt in a decentralised manner a,http://arxiv.org/abs/2303.14061v4
Towards Effective GenAI Multi-Agent Collaboration: Design and Evaluation for Enterprise Applications,Raphael Shu; Nilaksh Das; Michelle Yuan; Monica Sunkara; Yi Zhang,2024,"AI agents powered by large language models (LLMs) have shown strong capabilities in problem solving. Through combining many intelligent agents, multi-agent collaboration has emerged as a promising approach to tackle complex, multi-faceted problems that exceed the capabilities of single AI agents. However, designing the collaboration protocols and evaluating the effectiveness of these systems remains a significant challenge, especially for enterprise applications. This report addresses these chal",http://arxiv.org/abs/2412.05449v1
YouZhi: Towards High-Concurrency Financial LLMs via Adaptive GQA-to-MLA Transition, PSBC LLM Team;  Huawei LLM Team; Ruihan Long; Junjie Wu; Tianan Zhang,2026,"Large language models (LLMs) drive significant financial innovations, yet their high-concurrency deployment is severely bottlenecked by KV cache memory overhead, which inflates infrastructure costs and throttles scalability. To address this, we propose YouZhi-LLM, a highly efficient financial LLM empowered by a comprehensive structural transition and training pipeline natively built on the Huawei Ascend ecosystem. At its algorithmic core, YouZhi-LLM features a layer-adaptive GQA-to-MLA transitio",http://arxiv.org/abs/2606.05868v1
LLM Constitutional Multi-Agent Governance,J. de Curtò; I. de Zarzà,2026,"Large Language Models (LLMs) can generate persuasive influence strategies that shift cooperative behavior in multi-agent populations, but a critical question remains: does the resulting cooperation reflect genuine prosocial alignment, or does it mask erosion of agent autonomy, epistemic integrity, and distributional fairness? We introduce Constitutional Multi-Agent Governance (CMAG), a two-stage framework that interposes between an LLM policy compiler and a networked agent population, combining ",http://arxiv.org/abs/2603.13189v1
MAEBE: Multi-Agent Emergent Behavior Framework,Sinem Erisken; Timothy Gothard; Martin Leitgab; Ram Potham,2025,"Traditional AI safety evaluations on isolated LLMs are insufficient as multi-agent AI ensembles become prevalent, introducing novel emergent risks. This paper introduces the Multi-Agent Emergent Behavior Evaluation (MAEBE) framework to systematically assess such risks. Using MAEBE with the Greatest Good Benchmark (and a novel double-inversion question technique), we demonstrate that: (1) LLM moral preferences, particularly for Instrumental Harm, are surprisingly brittle and shift significantly w",http://arxiv.org/abs/2506.03053v2
PhishDebate: An LLM-Based Multi-Agent Framework for Phishing Website Detection,Wenhao Li; Selvakumar Manickam; Yung-wey Chong; Shankar Karuppayah,2025,"Phishing websites remain a major cybersecurity threat, exploiting deceptive structures, brand impersonation, and social engineering to evade detection. Recent advances in large language models (LLMs) have improved phishing detection through contextual understanding, yet most existing approaches rely on single-agent classification, which is prone to hallucination and often lacks interpretability and robustness. To address these limitations, we propose PhishDebate, a modular multi-agent LLM-based ",http://arxiv.org/abs/2506.15656v2
Interference-Aware K-Step Reachable Communication in Multi-Agent Reinforcement Learning,Ziyu Cheng; Jinsheng Ren; Zhouxian Jiang; Chenzhihang Li; Rongye Shi,2026,"Effective communication is pivotal for addressing complex collaborative tasks in multi-agent reinforcement learning (MARL). Yet, limited communication bandwidth and dynamic, intricate environmental topologies present significant challenges in identifying high-value communication partners. Agents must consequently select collaborators under uncertainty, lacking a priori knowledge of which partners can deliver task-critical information. To this end, we propose Interference-Aware K-Step Reachable C",http://arxiv.org/abs/2603.15054v1
MLFC: From 10 to 50 Planners in the Multi-Agent Programming Contest,Rafael C. Cardoso; Angelo Ferrando; Fabio Papacchini; Matt Luckcuck; Sven Linker,2021,"In this paper, we describe the strategies used by our team, MLFC, that led us to achieve the 2nd place in the 15th edition of the Multi-Agent Programming Contest. The scenario used in the contest is an extension of the previous edition (14th) ""Agents Assemble"" wherein two teams of agents move around a 2D grid and compete to assemble complex block structures. We discuss the languages and tools used during the development of our team. Then, we summarise the main strategies that were carried over f",http://arxiv.org/abs/2110.08172v2
How game complexity affects the playing behavior of synthetic agents,Chairi Kiourt; Dimitris Kalles; Panagiotis Kanellopoulos,2018,"Agent based simulation of social organizations, via the investigation of agents' training and learning tactics and strategies, has been inspired by the ability of humans to learn from social environments which are rich in agents, interactions and partial or hidden information. Such richness is a source of complexity that an effective learner has to be able to navigate. This paper focuses on the investigation of the impact of the environmental complexity on the game playing-and-learning behavior ",http://arxiv.org/abs/1807.02648v1
Learning the Value Systems of Agents with Preference-based and Inverse Reinforcement Learning,Andrés Holgado-Sánchez; Holger Billhardt; Alberto Fernández; Sascha Ossowski,2026,"Agreement Technologies refer to open computer systems in which autonomous software agents interact with one another, typically on behalf of humans, in order to come to mutually acceptable agreements. With the advance of AI systems in recent years, it has become apparent that such agreements, in order to be acceptable to the involved parties, must remain aligned with ethical principles and moral values. However, this is notoriously difficult to ensure, especially as different human users (and the",http://arxiv.org/abs/2602.04518v1
Deep Reinforcement Learning for Multi-Agent Interaction,Ibrahim H. Ahmed; Cillian Brewitt; Ignacio Carlucho; Filippos Christianos; Mhairi Dunion,2022,"The development of autonomous agents which can interact with other agents to accomplish a given task is a core area of research in artificial intelligence and machine learning. Towards this goal, the Autonomous Agents Research Group develops novel machine learning algorithms for autonomous systems control, with a specific focus on deep reinforcement learning and multi-agent reinforcement learning. Research problems include scalable learning of coordinated agent policies and inter-agent communica",http://arxiv.org/abs/2208.01769v1
Multi-agent Collective Construction using 3D Decomposition,Akshaya Kesarimangalam Srinivasan; Shambhavi Singh; Geordan Gutow; Howie Choset; Bhaskar Vundurthy,2023,"This paper addresses a Multi-Agent Collective Construction (MACC) problem that aims to build a three-dimensional structure comprised of cubic blocks. We use cube-shaped robots that can carry one cubic block at a time, and move forward, reverse, left, and right to an adjacent cell of the same height or climb up and down one cube height. To construct structures taller than one cube, the robots must build supporting stairs made of blocks and remove the stairs once the structure is built. Convention",http://arxiv.org/abs/2309.00985v1
Multi-Agent Training for Pommerman: Curriculum Learning and Population-based Self-Play Approach,Nhat-Minh Huynh; Hoang-Giang Cao; I-Chen Wu,2024,"Pommerman is a multi-agent environment that has received considerable attention from researchers in recent years. This environment is an ideal benchmark for multi-agent training, providing a battleground for two teams with communication capabilities among allied agents. Pommerman presents significant challenges for model-free reinforcement learning due to delayed action effects, sparse rewards, and false positives, where opponent players can lose due to their own mistakes. This study introduces ",http://arxiv.org/abs/2407.00662v2
SPEAR: An Engineering Case Study of Multi-Agent Coordination for Smart Contract Auditing,Indraveni Chebolu; Arnab Mallick; Harmesh Rana,2026,"We present SPEAR, a multi-agent coordination framework for smart contract auditing that applies established MAS patterns in a realistic security analysis workflow. SPEAR models auditing as a coordinated mission carried out by specialized agents: a Planning Agent prioritizes contracts using risk-aware heuristics, an Execution Agent allocates tasks via the Contract Net protocol, and a Repair Agent autonomously recovers from brittle generated artifacts using a programmatic-first repair policy. Agen",http://arxiv.org/abs/2602.04418v3
A Game-Theoretic Approach to Multi-Agent Trust Region Optimization,Ying Wen; Hui Chen; Yaodong Yang; Zheng Tian; Minne Li,2021,"Trust region methods are widely applied in single-agent reinforcement learning problems due to their monotonic performance-improvement guarantee at every iteration. Nonetheless, when applied in multi-agent settings, the guarantee of trust region methods no longer holds because an agent's payoff is also affected by other agents' adaptive behaviors. To tackle this problem, we conduct a game-theoretical analysis in the policy space, and propose a multi-agent trust region learning method (MATRL), wh",http://arxiv.org/abs/2106.06828v1
Multi-Agent VQA: Exploring Multi-Agent Foundation Models in Zero-Shot Visual Question Answering,Bowen Jiang; Zhijun Zhuang; Shreyas S. Shivakumar; Dan Roth; Camillo J. Taylor,2024,"This work explores the zero-shot capabilities of foundation models in Visual Question Answering (VQA) tasks. We propose an adaptive multi-agent system, named Multi-Agent VQA, to overcome the limitations of foundation models in object detection and counting by using specialized agents as tools. Unlike existing approaches, our study focuses on the system's performance without fine-tuning it on specific VQA datasets, making it more practical and robust in the open world. We present preliminary expe",http://arxiv.org/abs/2403.14783v1
SocialGFs: Learning Social Gradient Fields for Multi-Agent Reinforcement Learning,Qian Long; Fangwei Zhong; Mingdong Wu; Yizhou Wang; Song-Chun Zhu,2024,"Multi-agent systems (MAS) need to adaptively cope with dynamic environments, changing agent populations, and diverse tasks. However, most of the multi-agent systems cannot easily handle them, due to the complexity of the state and task space. The social impact theory regards the complex influencing factors as forces acting on an agent, emanating from the environment, other agents, and the agent's intrinsic motivation, referring to the social force. Inspired by this concept, we propose a novel gr",http://arxiv.org/abs/2405.01839v1
Agent-Temporal Attention for Reward Redistribution in Episodic Multi-Agent Reinforcement Learning,Baicen Xiao; Bhaskar Ramasubramanian; Radha Poovendran,2022,This paper considers multi-agent reinforcement learning (MARL) tasks where agents receive a shared global reward at the end of an episode. The delayed nature of this reward affects the ability of the agents to assess the quality of their actions at intermediate time-steps. This paper focuses on developing methods to learn a temporal redistribution of the episodic reward to obtain a dense reward signal. Solving such MARL problems requires addressing two challenges: identifying (1) relative import,http://arxiv.org/abs/2201.04612v1
The Geometry of Dialogue: Graphing Language Models to Reveal Synergistic Teams for Multi-Agent Collaboration,Kotaro Furuya; Yuichi Kitagawa,2025,"While a multi-agent approach based on large language models (LLMs) represents a promising strategy to surpass the capabilities of single models, its success is critically dependent on synergistic team composition. However, forming optimal teams is a significant challenge, as the inherent opacity of most models obscures the internal characteristics necessary for effective collaboration. In this paper, we propose an interaction-centric framework for automatic team composition that does not require",http://arxiv.org/abs/2510.26352v2
Causal Explanations for Sequential Decision-Making in Multi-Agent Systems,Balint Gyevnar; Cheng Wang; Christopher G. Lucas; Shay B. Cohen; Stefano V. Albrecht,2023,"We present CEMA: Causal Explanations in Multi-Agent systems; a framework for creating causal natural language explanations of an agent's decisions in dynamic sequential multi-agent systems to build more trustworthy autonomous agents. Unlike prior work that assumes a fixed causal structure, CEMA only requires a probabilistic model for forward-simulating the state of the system. Using such a model, CEMA simulates counterfactual worlds that identify the salient causes behind the agent's decisions. ",http://arxiv.org/abs/2302.10809v4
Agentic Social Affordance Framework (ASAF): Agent Identity Design as a Collaboration Interface in Multi-Agent Systems,Meng-Han Lee,2026,"As AI systems evolve from single conversational agents to complex multi-agent architectures, a critical design dimension has been overlooked: how the social identity of individual agents shapes human behavior within the collaboration. This paper introduces the Agentic Social Affordance Framework (ASAF), a theoretical framework that extends Social Affordance theory into the context of multi-agent AI systems. We propose that agent identity design functions not merely as a user interface convention",http://arxiv.org/abs/2606.09832v1
Agent-Time Attention for Sparse Rewards Multi-Agent Reinforcement Learning,Jennifer She; Jayesh K. Gupta; Mykel J. Kochenderfer,2022,"Sparse and delayed rewards pose a challenge to single agent reinforcement learning. This challenge is amplified in multi-agent reinforcement learning (MARL) where credit assignment of these rewards needs to happen not only across time, but also across agents. We propose Agent-Time Attention (ATA), a neural network model with auxiliary losses for redistributing sparse and delayed rewards in collaborative MARL. We provide a simple example that demonstrates how providing agents with their own local",http://arxiv.org/abs/2210.17540v1
Learning Multi-agent Multi-machine Tending by Mobile Robots,Abdalwhab Abdalwhab; Giovanni Beltrame; Samira Ebrahimi Kahou; David St-Onge,2024,"Robotics can help address the growing worker shortage challenge of the manufacturing industry. As such, machine tending is a task collaborative robots can tackle that can also highly boost productivity. Nevertheless, existing robotics systems deployed in that sector rely on a fixed single-arm setup, whereas mobile robots can provide more flexibility and scalability. In this work, we introduce a multi-agent multi-machine tending learning framework by mobile robots based on Multi-agent Reinforceme",http://arxiv.org/abs/2408.16875v3
Emergent Language: A Survey and Taxonomy,Jannik Peters; Constantin Waubert de Puiseau; Hasan Tercan; Arya Gopikrishnan; Gustavo Adolpho Lucas De Carvalho,2024,"The field of emergent language represents a novel area of research within the domain of artificial intelligence, particularly within the context of multi-agent reinforcement learning. Although the concept of studying language emergence is not new, early approaches were primarily concerned with explaining human language formation, with little consideration given to its potential utility for artificial agents. In contrast, studies based on reinforcement learning aim to develop communicative capabi",http://arxiv.org/abs/2409.02645v2
An Industrial Perspective on Multi-Agent Decision Making for Interoperable Robot Navigation following the VDA5050 Standard,Niels van Duijkeren; Luigi Palmieri; Ralph Lange; Alexander Kleiner,2023,"This paper provides a perspective on the literature and current challenges in Multi-Agent Systems for interoperable robot navigation in industry. The focus is on the multi-agent decision stack for Autonomous Mobile Robots operating in mixed environments with humans, manually driven vehicles, and legacy Automated Guided Vehicles. We provide typical characteristics of such Multi-Agent Systems observed today and how these are expected to change on the short term due to the new standard VDA5050 and ",http://arxiv.org/abs/2311.14615v1
Overview: Generalizations of Multi-Agent Path Finding to Real-World Scenarios,Hang Ma; Sven Koenig; Nora Ayanian; Liron Cohen; Wolfgang Hoenig,2017,"Multi-agent path finding (MAPF) is well-studied in artificial intelligence, robotics, theoretical computer science and operations research. We discuss issues that arise when generalizing MAPF methods to real-world scenarios and four research directions that address them. We emphasize the importance of addressing these issues as opposed to developing faster methods for the standard formulation of the MAPF problem.",http://arxiv.org/abs/1702.05515v1
Multi-Agent Learning of Numerical Methods for Hyperbolic PDEs with Factored Dec-MDP,Yiwei Fu; Dheeraj S. K. Kapilavai; Elliot Way,2022,"Factored decentralized Markov decision process (Dec-MDP) is a framework for modeling sequential decision making problems in multi-agent systems. In this paper, we formalize the learning of numerical methods for hyperbolic partial differential equations (PDEs), specifically the Weighted Essentially Non-Oscillatory (WENO) scheme, as a factored Dec-MDP problem. We show that different reward formulations lead to either reinforcement learning (RL) or behavior cloning, and a homogeneous policy could b",http://arxiv.org/abs/2205.15716v1
Variational Policy Propagation for Multi-agent Reinforcement Learning,Chao Qu; Hui Li; Chang Liu; Junwu Xiong; James Zhang,2020,"We propose a \emph{collaborative} multi-agent reinforcement learning algorithm named variational policy propagation (VPP) to learn a \emph{joint} policy through the interactions over agents. We prove that the joint policy is a Markov Random Field under some mild conditions, which in turn reduces the policy space effectively. We integrate the variational inference as special differentiable layers in policy such that the actions can be efficiently sampled from the Markov Random Field and the overa",http://arxiv.org/abs/2004.08883v4
Cayley Graph Optimization for Scalable Multi-Agent Communication Topologies,Jingkai Luo; Yulin Shao,2026,"Large-scale multi-agent communication has long faced a scalability bottleneck: fully connected networks require quadratic complexity, yet existing sparse topologies rely on hand-crafted rules. This paper treats the communication graph itself as a design variable and proposes CayleyTopo, a family of circulant Cayley graphs whose generator sets are optimized to minimize diameter, directly targeting worst-case information propagation speed. To navigate the enormous search space of possible generato",http://arxiv.org/abs/2604.09703v1
Off-the-Grid MARL: Datasets with Baselines for Offline Multi-Agent Reinforcement Learning,Claude Formanek; Asad Jeewa; Jonathan Shock; Arnu Pretorius,2023,"Being able to harness the power of large datasets for developing cooperative multi-agent controllers promises to unlock enormous value for real-world applications. Many important industrial systems are multi-agent in nature and are difficult to model using bespoke simulators. However, in industry, distributed processes can often be recorded during operation, and large quantities of demonstrative data stored. Offline multi-agent reinforcement learning (MARL) provides a promising paradigm for buil",http://arxiv.org/abs/2302.00521v2
Energy-Optimal Multi-Agent Navigation as a Strategic-Form Game,Logan Beaver,2024,"This extended abstracts presents a method to generate energy-optimal trajectories for multi-agent systems as a strategic-form game. Using recent results in optimal control, we demonstrate that an energy-optimal trajectory can be generated in milliseconds if the sequence of constraint activations is known a priori. Thus, rather than selecting an infinite-dimensional action from a function space, the agents select their actions from a finite number of constraints and determine the time that each b",http://arxiv.org/abs/2403.19641v1
The Social Laboratory: A Psychometric Framework for Multi-Agent LLM Evaluation,Zarreen Reza,2025,"As Large Language Models (LLMs) transition from static tools to autonomous agents, traditional evaluation benchmarks that measure performance on downstream tasks are becoming insufficient. These methods fail to capture the emergent social and cognitive dynamics that arise when agents communicate, persuade, and collaborate in interactive environments. To address this gap, we introduce a novel evaluation framework that uses multi-agent debate as a controlled ""social laboratory"" to discover and qua",http://arxiv.org/abs/2510.01295v1
AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,Patara Trirat; Wonyong Jeong; Sung Ju Hwang,2024,"Automated machine learning (AutoML) accelerates AI development by automating tasks in the development pipeline, such as optimal model search and hyperparameter tuning. Existing AutoML systems often require technical expertise to set up complex tools, which is in general time-consuming and requires a large amount of human effort. Therefore, recent works have started exploiting large language models (LLM) to lessen such burden and increase the usability of AutoML frameworks via a natural language ",http://arxiv.org/abs/2410.02958v2
Refined Hardness of Distance-Optimal Multi-Agent Path Finding,Tzvika Geft; Dan Halperin,2022,"We study the computational complexity of multi-agent path finding (MAPF). Given a graph $G$ and a set of agents, each having a start and target vertex, the goal is to find collision-free paths minimizing the total distance traveled. To better understand the source of difficulty of the problem, we aim to study the simplest and least constrained graph class for which it remains hard. To this end, we restrict $G$ to be a 2D grid, which is a ubiquitous abstraction, as it conveniently allows for mode",http://arxiv.org/abs/2203.07416v1
Modeling Normative Multi-Agent Systems from a Kelsenian Perspective,Christiano Braga; Edward Hermann Haeusler; Jéssica S. Santos,2017,"Standard Deontic Logic (SDL) has been used as the underlying logic to model and reason over Multi-Agent Systems governed by norms (NorMAS). It is known that SDL is not able to represent contrary-to-duty (CTD) scenarios in a consistent way. That is the case, for example, of the so-called Chisholm paradox, which models a situation in which a conditional obligation that specifies what must be done when a primary obligation is violated holds. In SDL, the set of sentences that represent the Chisholm ",http://arxiv.org/abs/1709.02018v2
Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,Xin He; Liangliang You; Hongduan Tian; Bo Han; Ivor Tsang,2025,"Physics-informed neural networks (PINNs) provide a powerful approach for solving partial differential equations (PDEs), but constructing a usable PINN remains labor-intensive and error-prone. Scientists must interpret problems as PDE formulations, design architectures and loss functions, and implement stable training pipelines. Existing large language model (LLM) based approaches address isolated steps such as code generation or architecture suggestion, but typically assume a formal PDE is alrea",http://arxiv.org/abs/2510.05158v1
Learning Bilateral Team Formation in Cooperative Multi-Agent Reinforcement Learning,Koorosh Moslemi; Chi-Guhn Lee,2025,"Team formation and the dynamics of team-based learning have drawn significant interest in the context of Multi-Agent Reinforcement Learning (MARL). However, existing studies primarily focus on unilateral groupings, predefined teams, or fixed-population settings, leaving the effects of algorithmic bilateral grouping choices in dynamic populations underexplored. To address this gap, we introduce a framework for learning two-sided team formation in dynamic multi-agent systems. Through this study, w",http://arxiv.org/abs/2506.20039v1
Unravelling multi-agent ranked delegations,Rachael Colley; Umberto Grandi; Arianna Novaro,2021,"We introduce a voting model with multi-agent ranked delegations. This model generalises liquid democracy in two aspects: first, an agent's delegation can use the votes of multiple other agents to determine their own -- for instance, an agent's vote may correspond to the majority outcome of the votes of a trusted group of agents; second, agents can submit a ranking over multiple delegations, so that a backup delegation can be used when their preferred delegations are involved in cycles. The main ",http://arxiv.org/abs/2111.13145v1
PolyKV: A Shared Asymmetrically-Compressed KV Cache Pool for Multi-Agent LLM Inference,Ishan Patel; Ishan Joshi,2026,"We present PolyKV, a system in which multiple concurrent inference agents share a single, asymmetrically compressed KV cache pool. Rather than allocating a separate KV cache per agent -- the standard paradigm -- PolyKV writes a compressed cache once and injects it into N independent agent contexts via HuggingFace DynamicCache objects. Compression is asymmetric: Keys are quantized at int8 (q8_0) to preserve softmax stability, while Values are compressed using TurboQuant MSE -- a Fast Walsh-Hadama",http://arxiv.org/abs/2604.24971v1
Analysing Factorizations of Action-Value Networks for Cooperative Multi-Agent Reinforcement Learning,Jacopo Castellini; Frans A. Oliehoek; Rahul Savani; Shimon Whiteson,2019,"Recent years have seen the application of deep reinforcement learning techniques to cooperative multi-agent systems, with great empirical success. However, given the lack of theoretical insight, it remains unclear what the employed neural networks are learning, or how we should enhance their learning power to address the problems on which they fail. In this work, we empirically investigate the learning power of various network architectures on a series of one-shot games. Despite their simplicity",http://arxiv.org/abs/1902.07497v4
ARCANE: A Multi-Agent Framework for Interpretable and Configurable Alignment,Charlie Masters; Marta Grześkiewicz; Stefano V. Albrecht,2025,"As agents based on large language models are increasingly deployed to long-horizon tasks, maintaining their alignment with stakeholder preferences becomes critical. Effective alignment in such settings requires reward models that are interpretable so that stakeholders can understand and audit model objectives. Moreover, reward models must be capable of steering agents at interaction time, allowing preference shifts to be incorporated without retraining. We introduce ARCANE, a framework that fram",http://arxiv.org/abs/2512.06196v1
QCNeXt: A Next-Generation Framework For Joint Multi-Agent Trajectory Prediction,Zikang Zhou; Zihao Wen; Jianping Wang; Yung-Hui Li; Yu-Kai Huang,2023,"Estimating the joint distribution of on-road agents' future trajectories is essential for autonomous driving. In this technical report, we propose a next-generation framework for joint multi-agent trajectory prediction called QCNeXt. First, we adopt the query-centric encoding paradigm for the task of joint multi-agent trajectory prediction. Powered by this encoding scheme, our scene encoder is equipped with permutation equivariance on the set elements, roto-translation invariance in the space di",http://arxiv.org/abs/2306.10508v1
