id_licitacao,orgao,categoria,valor_licitacao,num_concorrentes,dias_planejamento,historico_sancoes_vencedor,exclusividade_mei_me,criterio_julgamento,complexidade_textual,risco_irregularidade,risco_predito,probabilidade_risco
LIC-20260029,Ministério da Educação,Serviços de Cloud Computing,71911.03,7,48,1,1,0,0.8052,0,1,0.5140052719285338
LIC-20260030,Ministério da Educação,Suporte Técnico e Helpdesk,310008.43,4,52,0,0,1,0.8145,0,0,0.01609768715938071
LIC-20260031,Prefeitura Metropolitana,Suporte Técnico e Helpdesk,861030.44,1,54,0,0,0,0.7067,0,0,0.16939440873417314
LIC-20260032,Governo Estadual,Serviços de Cloud Computing,777062.66,8,42,0,0,0,0.6747,0,0,0.0017839054764409307
LIC-20260033,Governo Estadual,Equipamentos de TI,245152.47,2,50,0,0,1,0.8086,1,1,0.5728094542429791
LIC-20260034,Tribunal de Justiça,Consultoria em Governança,100851.17,3,36,0,0,0,0.6284,0,0,0.0034754934706181153
LIC-20260035,Prefeitura Metropolitana,Consultoria em Governança,205836.3,6,35,0,0,0,0.4425,0,0,0.0038423903733787053
LIC-20260036,Ministério da Educação,Segurança da Informação,230152.84,4,30,0,0,0,0.7518,0,0,0.002805740149185032
LIC-20260037,Ministério da Tecnologia,Segurança da Informação,95459.65,5,58,0,1,0,0.9134,0,0,0.014663300975641011
LIC-20260038,Tribunal de Justiça,Serviços de Cloud Computing,99280.01,5,36,0,1,1,0.5537,0,0,0.003076221197981663
LIC-20260039,Defensoria Pública,Suporte Técnico e Helpdesk,661102.75,5,20,0,0,0,0.7509,0,0,0.003532464997137498
LIC-20260040,Prefeitura Metropolitana,Consultoria em Governança,224524.1,3,38,0,0,0,0.5784,0,0,0.0021048783045619526
LIC-20260041,Tribunal de Justiça,Consultoria em Governança,210311.6,6,52,0,0,1,0.8745,0,0,0.02034942156073191
LIC-20260042,Governo Estadual,Desenvolvimento de Software,379925.26,7,76,0,0,0,0.5839,0,0,0.0037223108691777536
LIC-20260043,Tribunal de Justiça,Desenvolvimento de Software,378635.59,9,28,0,0,0,0.7125,0,0,0.003815337140906677
LIC-20260044,Governo Estadual,Suporte Técnico e Helpdesk,194104.14,7,30,0,0,0,0.6275,0,0,0.003632656995495297
LIC-20260045,Prefeitura Metropolitana,Desenvolvimento de Software,6403055.78,1,71,1,1,0,0.9287,1,1,0.807559579223666
LIC-20260046,Tribunal de Justiça,Segurança da Informação,81836.14,8,43,0,1,0,0.8996,0,0,0.013206027001243674
LIC-20260047,Governo Estadual,Serviços de Cloud Computing,56721.32,5,4,1,0,0,0.7721,1,1,0.8330577755302528
LIC-20260048,Defensoria Pública,Suporte Técnico e Helpdesk,268562.5,5,47,0,0,0,0.6454,0,0,0.002156625181834857
LIC-20260049,Defensoria Pública,Serviços de Cloud Computing,994313.89,6,57,0,0,0,0.6017,0,0,0.0020966084693002495
LIC-20260050,Prefeitura Metropolitana,Serviços de Cloud Computing,637944.44,1,28,0,0,0,0.74,0,0,0.1096865882664469
LIC-20260051,Tribunal de Justiça,Consultoria em Governança,363417.14,5,19,1,1,0,0.7057,0,0,0.37385761232938813
LIC-20260052,Prefeitura Metropolitana,Consultoria em Governança,57727.26,7,71,1,1,0,0.8039,0,0,0.3683809967287286
LIC-20260053,Secretaria de Infraestrutura,Segurança da Informação,302846.36,3,20,0,0,1,0.5563,0,0,0.006886875733582123
LIC-20260054,Secretaria de Infraestrutura,Equipamentos de TI,50000.0,2,25,0,0,0,0.8896,0,0,0.46875949394706196
LIC-20260055,Tribunal de Justiça,Serviços de Cloud Computing,950145.26,6,54,0,0,0,0.6258,0,0,0.0020966084693002495
LIC-20260056,Defensoria Pública,Desenvolvimento de Software,257304.07,8,71,0,1,0,0.6339,0,0,0.0038566248638314117
LIC-20260057,Ministério da Saúde,Desenvolvimento de Software,558328.57,9,51,0,0,1,0.8915,0,0,0.02384665851822583
LIC-20260058,Ministério da Tecnologia,Consultoria em Governança,1040158.15,5,43,0,0,0,0.9128,0,0,0.012008629923901585
LIC-20260059,Ministério da Tecnologia,Consultoria em Governança,339716.16,5,46,1,1,1,0.8717,1,1,0.8753254903366564
LIC-20260060,Secretaria de Infraestrutura,Segurança da Informação,809193.23,6,49,0,0,0,0.7479,0,0,0.0015550940484727904
LIC-20260061,Ministério da Educação,Suporte Técnico e Helpdesk,99637.93,9,21,0,0,0,0.8138,0,0,0.013788683756754103
LIC-20260062,Secretaria de Infraestrutura,Segurança da Informação,1475644.05,5,36,0,0,0,0.6072,0,0,0.002509509121098014
LIC-20260063,Defensoria Pública,Segurança da Informação,984935.65,4,44,0,0,0,0.8552,0,0,0.010655547072859208
LIC-20260064,Prefeitura Metropolitana,Segurança da Informação,1140244.98,12,50,0,1,0,0.8292,0,0,0.020931350602569468
LIC-20260065,Ministério da Saúde,Consultoria em Governança,433867.49,1,57,1,0,0,0.3245,1,1,0.9168968571559165
LIC-20260066,Ministério da Educação,Consultoria em Governança,361949.66,7,68,0,1,0,0.3497,0,0,0.0036197224643288173
LIC-20260067,Prefeitura Metropolitana,Consultoria em Governança,142776.18,1,43,0,0,0,0.7398,0,0,0.1650031702220684
LIC-20260068,Governo Estadual,Desenvolvimento de Software,78788.37,5,55,0,1,0,0.4438,0,0,0.006052244889593693
LIC-20260069,Prefeitura Metropolitana,Suporte Técnico e Helpdesk,59763.64,10,66,0,1,0,0.5098,0,0,0.003573003654784043
LIC-20260070,Ministério da Tecnologia,Suporte Técnico e Helpdesk,2329416.86,3,57,0,0,0,0.7472,0,0,0.003784167404743418
LIC-20260071,Ministério da Saúde,Consultoria em Governança,916416.13,4,28,0,1,0,0.8801,0,0,0.018629008078344274
LIC-20260072,Prefeitura Metropolitana,Segurança da Informação,280742.25,2,29,0,0,1,0.4928,0,0,0.13085556381223054
LIC-20260073,Ministério da Tecnologia,Segurança da Informação,2360481.42,9,50,0,0,0,0.7525,0,0,0.0031957482412465405
LIC-20260074,Ministério da Educação,Consultoria em Governança,134801.69,8,37,0,0,0,0.6174,0,0,0.003410423265709436
LIC-20260075,Prefeitura Metropolitana,Consultoria em Governança,61640.92,6,23,0,1,0,0.9471,0,0,0.01810451437593452
LIC-20260076,Tribunal de Justiça,Serviços de Cloud Computing,1405789.5,5,44,0,1,0,0.679,0,0,0.002327690194477551
LIC-20260077,Governo Estadual,Serviços de Cloud Computing,420473.22,6,43,0,0,0,0.4176,0,0,0.0030095254823225576
LIC-20260078,Ministério da Saúde,Segurança da Informação,50493.73,3,57,0,1,1,0.8573,0,0,0.03317433179639602
LIC-20260079,Governo Estadual,Suporte Técnico e Helpdesk,246244.07,3,44,0,1,0,0.6763,0,0,0.003373127451834662
LIC-20260080,Ministério da Saúde,Desenvolvimento de Software,461871.44,6,61,0,0,1,0.7373,0,0,0.004065212050016139
LIC-20260081,Governo Estadual,Equipamentos de TI,517445.31,7,31,1,0,0,0.9138,1,1,0.8630365433062418
LIC-20260082,Tribunal de Justiça,Desenvolvimento de Software,108539.45,9,62,0,1,1,0.6267,0,0,0.001999384276093274
LIC-20260083,Tribunal de Justiça,Segurança da Informação,57894.22,5,20,0,0,0,0.3357,0,0,0.010311594491479038
LIC-20260084,Ministério da Educação,Desenvolvimento de Software,4193855.71,2,66,0,0,1,0.5598,1,1,0.5846694387488518
LIC-20260085,Defensoria Pública,Desenvolvimento de Software,108580.0,6,40,0,1,0,0.6716,0,0,0.004008926532332828
LIC-20260086,Ministério da Tecnologia,Serviços de Cloud Computing,54131.38,7,46,1,0,1,0.8059,1,1,0.8099754931026233
LIC-20260087,Defensoria Pública,Segurança da Informação,1065871.86,7,40,0,0,0,0.5477,0,0,0.003074029763831815
LIC-20260088,Ministério da Tecnologia,Equipamentos de TI,229627.83,4,66,0,1,0,0.8199,0,0,0.013223590487109756
LIC-20260089,Secretaria de Infraestrutura,Serviços de Cloud Computing,531139.35,2,69,1,0,0,0.8644,1,1,0.9724335615205372
LIC-20260090,Tribunal de Justiça,Consultoria em Governança,50000.0,10,46,1,0,0,0.8183,1,1,0.840600318051942
LIC-20260091,Prefeitura Metropolitana,Suporte Técnico e Helpdesk,111008.72,8,63,0,0,0,0.7969,0,0,0.005851733356534156
LIC-20260092,Governo Estadual,Suporte Técnico e Helpdesk,845803.87,2,34,1,0,0,0.3988,1,1,0.8712856606131646
LIC-20260093,Defensoria Pública,Desenvolvimento de Software,266389.53,9,57,0,0,0,0.6702,0,0,0.0034001497635217028
LIC-20260094,Tribunal de Justiça,Serviços de Cloud Computing,329257.92,7,7,0,0,0,0.6659,0,0,0.03148078750820408
LIC-20260095,Ministério da Educação,Equipamentos de TI,289922.61,4,15,0,0,0,0.6934,0,0,0.004011538115010458
LIC-20260096,Ministério da Saúde,Segurança da Informação,136437.4,2,38,0,0,0,0.3976,0,0,0.10109984938638343
LIC-20260097,Tribunal de Justiça,Segurança da Informação,208824.07,8,36,0,0,1,0.7193,0,0,0.004850155696932232
LIC-20260098,Tribunal de Justiça,Desenvolvimento de Software,81395.28,5,44,0,1,0,0.8736,0,0,0.016320885395237916
LIC-20260099,Ministério da Educação,Consultoria em Governança,934610.95,4,43,0,0,1,0.8777,0,0,0.02497467425391018
LIC-20260100,Ministério da Saúde,Serviços de Cloud Computing,466011.96,3,34,0,0,0,0.4416,0,0,0.0031898897194115178
LIC-20260101,Ministério da Educação,Desenvolvimento de Software,1076663.87,2,62,0,0,0,0.659,0,0,0.10055028306372377
LIC-20260102,Governo Estadual,Desenvolvimento de Software,59688.41,5,37,1,1,0,0.7016,1,0,0.4922485969089465
LIC-20260103,Tribunal de Justiça,Equipamentos de TI,971900.59,4,18,0,1,0,0.4498,0,0,0.0023037540235155223
LIC-20260104,Defensoria Pública,Serviços de Cloud Computing,753563.21,10,36,0,1,1,0.8534,0,0,0.0350818149072794
LIC-20260105,Ministério da Tecnologia,Consultoria em Governança,275275.0,10,41,0,1,1,0.5397,0,0,0.0022211762198871567
LIC-20260106,Defensoria Pública,Serviços de Cloud Computing,1990478.07,5,50,0,0,0,0.7823,0,0,0.00384410740695138
LIC-20260107,Defensoria Pública,Suporte Técnico e Helpdesk,50000.0,6,22,0,0,0,0.8845,0,0,0.01411562207182691
LIC-20260108,Tribunal de Justiça,Desenvolvimento de Software,2504447.52,6,73,0,0,1,0.7216,0,0,0.02554795671273906
LIC-20260109,Ministério da Educação,Consultoria em Governança,92665.27,4,29,0,1,0,0.8897,0,0,0.01724168572349721
LIC-20260110,Secretaria de Infraestrutura,Equipamentos de TI,59634.06,2,50,0,1,0,0.4656,0,0,0.09650511599124237
LIC-20260111,Secretaria de Infraestrutura,Suporte Técnico e Helpdesk,212365.84,5,48,0,0,0,0.6425,0,0,0.0029897733038512495
LIC-20260112,Defensoria Pública,Consultoria em Governança,672862.54,2,63,0,0,0,0.6572,1,0,0.16968857078049912
LIC-20260113,Ministério da Saúde,Consultoria em Governança,193813.51,2,46,0,0,1,0.5668,0,0,0.13520302645829002
LIC-20260114,Ministério da Educação,Desenvolvimento de Software,50000.0,8,37,0,0,0,0.7978,0,0,0.00529151539775404
LIC-20260115,Secretaria de Infraestrutura,Consultoria em Governança,288951.99,5,28,0,1,1,0.8867,0,0,0.024634039716522296
LIC-20260116,Governo Estadual,Desenvolvimento de Software,114357.85,5,46,0,0,0,0.5087,0,0,0.00422376675615971
LIC-20260117,Tribunal de Justiça,Serviços de Cloud Computing,50000.0,3,58,0,0,0,0.793,0,0,0.004421556478758724
LIC-20260118,Tribunal de Justiça,Segurança da Informação,50000.0,9,48,0,1,1,0.7686,0,0,0.002965354467332924
LIC-20260119,Defensoria Pública,Serviços de Cloud Computing,446109.13,7,29,1,0,0,0.6033,1,0,0.3404491547758205
LIC-20260120,Secretaria de Infraestrutura,Serviços de Cloud Computing,102084.26,9,53,0,0,0,0.7309,0,0,0.004319006864709565
LIC-20260121,Prefeitura Metropolitana,Suporte Técnico e Helpdesk,88708.21,9,27,0,0,0,0.7524,0,0,0.004704822071607399
LIC-20260122,Tribunal de Justiça,Desenvolvimento de Software,1398679.88,3,60,0,0,1,0.6965,0,0,0.00626257619421259
LIC-20260123,Defensoria Pública,Segurança da Informação,200885.59,6,48,0,0,0,0.7644,0,0,0.004646561741193476
LIC-20260124,Ministério da Educação,Desenvolvimento de Software,496692.78,5,41,0,0,1,0.8494,0,0,0.018773644199460236
LIC-20260125,Ministério da Saúde,Desenvolvimento de Software,188052.99,4,59,1,0,0,0.8427,1,1,0.7636118519474038
LIC-20260126,Tribunal de Justiça,Serviços de Cloud Computing,407190.52,6,62,0,0,0,0.8733,0,0,0.023074953494482787
LIC-20260127,Secretaria de Infraestrutura,Suporte Técnico e Helpdesk,70568.19,5,41,0,1,0,0.1475,0,0,0.008423504297219496
LIC-20260128,Defensoria Pública,Serviços de Cloud Computing,110088.0,2,25,0,1,0,0.5892,0,0,0.13205561514292896
LIC-20260129,Secretaria de Infraestrutura,Desenvolvimento de Software,50000.0,1,40,0,0,0,0.687,0,0,0.13799203148421932
LIC-20260130,Ministério da Tecnologia,Suporte Técnico e Helpdesk,92645.49,7,49,0,0,0,0.6858,0,0,0.004120903602094803
LIC-20260131,Ministério da Saúde,Suporte Técnico e Helpdesk,320024.11,4,32,0,0,0,0.3559,0,0,0.0036433196626054713
LIC-20260132,Prefeitura Metropolitana,Suporte Técnico e Helpdesk,72513.0,2,66,1,0,1,0.614,1,1,0.8769372631046705
LIC-20260133,Prefeitura Metropolitana,Suporte Técnico e Helpdesk,305673.14,2,85,0,0,0,0.5491,1,0,0.2653602991345037
LIC-20260134,Defensoria Pública,Serviços de Cloud Computing,123565.57,10,71,0,0,0,0.6698,0,0,0.004512395883920928
LIC-20260135,Tribunal de Justiça,Equipamentos de TI,207335.76,3,64,0,0,0,0.7206,0,0,0.0033388370959123227
LIC-20260136,Tribunal de Justiça,Desenvolvimento de Software,2596475.27,2,38,0,1,0,0.6828,0,0,0.13875460378980195
LIC-20260137,Ministério da Saúde,Consultoria em Governança,175258.14,8,43,0,0,0,0.5302,0,0,0.0027857445158161994
LIC-20260138,Governo Estadual,Desenvolvimento de Software,206284.75,3,63,0,0,1,0.3559,0,0,0.0051118862258254395
LIC-20260139,Ministério da Saúde,Segurança da Informação,89030.87,8,44,0,0,1,0.6354,0,0,0.004091058898551656
LIC-20260140,Defensoria Pública,Segurança da Informação,388349.37,5,39,0,1,0,0.6055,0,0,0.0034427033545349605
LIC-20260141,Ministério da Tecnologia,Desenvolvimento de Software,112384.04,11,62,1,0,1,0.6874,1,0,0.48967544764292
LIC-20260142,Ministério da Educação,Serviços de Cloud Computing,200847.8,6,59,0,0,0,0.8583,0,0,0.01008084408106766
LIC-20260143,Ministério da Educação,Segurança da Informação,619410.46,5,62,0,0,0,0.7083,0,0,0.0023174473511067863
LIC-20260144,Ministério da Educação,Consultoria em Governança,346608.94,4,42,0,0,0,0.6909,0,0,0.0023098957545892224
LIC-20260145,Tribunal de Justiça,Suporte Técnico e Helpdesk,195356.66,6,14,1,0,0,0.7176,1,1,0.7868713831508957
LIC-20260146,Ministério da Educação,Segurança da Informação,83428.44,7,34,0,0,0,0.6971,0,0,0.004982281354776904
LIC-20260147,Tribunal de Justiça,Segurança da Informação,844175.47,2,29,0,1,0,0.8282,1,1,0.6724385530479089
LIC-20260148,Ministério da Saúde,Segurança da Informação,120998.76,7,68,0,0,0,0.5491,0,0,0.005272750468016421
LIC-20260149,Ministério da Educação,Suporte Técnico e Helpdesk,298459.38,4,47,0,1,0,0.9512,0,0,0.016923012441627427
LIC-20260150,Governo Estadual,Equipamentos de TI,224731.95,8,59,0,0,0,0.7226,0,0,0.002755548349499539
LIC-20260151,Tribunal de Justiça,Consultoria em Governança,91058.29,4,54,0,0,1,0.8596,0,0,0.020254028140255197
LIC-20260152,Governo Estadual,Serviços de Cloud Computing,687986.95,3,27,0,1,0,0.736,0,0,0.0030926565018466524
LIC-20260153,Prefeitura Metropolitana,Suporte Técnico e Helpdesk,870675.08,3,33,0,0,1,0.7162,0,0,0.00542009042697002
LIC-20260154,Ministério da Tecnologia,Consultoria em Governança,99290.34,2,70,0,0,1,0.6433,0,0,0.1169645070748263
LIC-20260155,Prefeitura Metropolitana,Suporte Técnico e Helpdesk,59148.25,5,35,0,0,0,0.4596,0,0,0.006462952804307571
LIC-20260156,Governo Estadual,Desenvolvimento de Software,50000.0,4,32,0,1,0,0.6472,0,0,0.004254434743958064
LIC-20260157,Ministério da Saúde,Suporte Técnico e Helpdesk,736624.84,4,35,0,0,0,0.7222,0,0,0.0017436438138146793
LIC-20260158,Ministério da Educação,Desenvolvimento de Software,399597.33,4,51,0,0,0,0.6288,0,0,0.0024036082423961823
LIC-20260159,Tribunal de Justiça,Segurança da Informação,354543.79,3,26,0,1,0,0.4879,0,0,0.0029370121196179255
LIC-20260160,Prefeitura Metropolitana,Serviços de Cloud Computing,369185.27,3,39,0,1,1,0.7798,0,0,0.003024432179194026
LIC-20260161,Governo Estadual,Desenvolvimento de Software,361137.59,8,47,0,1,0,0.5496,0,0,0.0031613753017448
LIC-20260162,Tribunal de Justiça,Equipamentos de TI,213780.19,8,42,0,0,0,0.9309,0,0,0.011983282625528564
LIC-20260163,Prefeitura Metropolitana,Serviços de Cloud Computing,172909.25,3,51,0,1,1,0.9258,0,0,0.025096130779764702
LIC-20260164,Defensoria Pública,Segurança da Informação,393793.6,2,55,0,1,0,0.6108,0,0,0.10971016340264132
LIC-20260165,Prefeitura Metropolitana,Segurança da Informação,606371.39,7,27,0,1,1,0.9677,0,0,0.08128237900490755
LIC-20260166,Ministério da Saúde,Consultoria em Governança,424947.22,4,54,0,1,1,0.2672,0,0,0.0022264425051595547
LIC-20260167,Prefeitura Metropolitana,Consultoria em Governança,982966.65,8,59,0,1,1,0.697,0,0,0.0008989139002234445
LIC-20260168,Ministério da Educação,Serviços de Cloud Computing,245278.33,4,22,0,1,0,0.7014,0,0,0.002707147562910411
LIC-20260169,Prefeitura Metropolitana,Desenvolvimento de Software,201686.09,5,49,0,0,1,0.739,0,0,0.005207883858000837
LIC-20260170,Ministério da Educação,Consultoria em Governança,367140.78,3,18,0,0,0,0.8513,0,0,0.015493419466586101
LIC-20260171,Ministério da Tecnologia,Equipamentos de TI,115337.11,4,58,1,0,0,0.5112,0,0,0.2956828129409956
LIC-20260172,Prefeitura Metropolitana,Segurança da Informação,142394.35,5,67,0,0,0,0.8105,0,0,0.013655897975878774
LIC-20260173,Tribunal de Justiça,Consultoria em Governança,88766.82,4,29,1,0,0,0.6957,1,0,0.4933208267161903
LIC-20260174,Governo Estadual,Serviços de Cloud Computing,67648.74,7,53,0,0,0,0.7968,0,0,0.005207889455709791
LIC-20260175,Prefeitura Metropolitana,Segurança da Informação,181218.39,6,20,0,0,0,0.7368,0,0,0.004590003517651629
LIC-20260176,Defensoria Pública,Equipamentos de TI,148607.62,2,25,0,0,0,0.882,0,0,0.4979522489333171
LIC-20260177,Ministério da Saúde,Desenvolvimento de Software,2076131.73,9,40,0,1,0,0.6512,0,0,0.00168649624944581
LIC-20260178,Secretaria de Infraestrutura,Equipamentos de TI,4577424.19,7,35,0,0,1,0.8998,1,0,0.4721526853543263
LIC-20260179,Ministério da Saúde,Desenvolvimento de Software,117188.15,6,45,0,0,0,0.9009,0,0,0.01015293102560345
LIC-20260180,Governo Estadual,Serviços de Cloud Computing,398704.31,5,60,0,0,1,0.865,0,0,0.02676898234449289
LIC-20260181,Prefeitura Metropolitana,Serviços de Cloud Computing,203666.77,10,32,0,0,0,0.7442,0,0,0.0025288704158823168
LIC-20260182,Defensoria Pública,Segurança da Informação,807861.03,3,34,0,0,0,0.8456,0,0,0.015481357391652038
LIC-20260183,Secretaria de Infraestrutura,Segurança da Informação,307140.59,7,51,0,1,0,0.6115,0,0,0.003415159295520903
LIC-20260184,Ministério da Saúde,Desenvolvimento de Software,164436.37,6,44,0,0,0,0.4543,0,0,0.004517755417788229
LIC-20260185,Ministério da Educação,Consultoria em Governança,251765.96,7,63,0,1,1,0.5614,0,0,0.002830957648090331
LIC-20260186,Ministério da Tecnologia,Segurança da Informação,137078.5,6,35,0,0,0,0.4492,0,0,0.005218186132512184
LIC-20260187,Ministério da Saúde,Equipamentos de TI,208825.66,2,76,0,0,1,0.7875,0,0,0.19693908745636196
LIC-20260188,Ministério da Tecnologia,Suporte Técnico e Helpdesk,287433.96,9,56,0,0,0,0.8863,0,0,0.014025383330033208
LIC-20260189,Ministério da Tecnologia,Desenvolvimento de Software,72579.69,5,33,0,0,1,0.7452,0,0,0.005074568287650301
LIC-20260190,Prefeitura Metropolitana,Equipamentos de TI,251854.39,5,22,0,1,1,0.8953,0,0,0.027046015160232
LIC-20260191,Ministério da Saúde,Equipamentos de TI,408227.57,5,21,1,1,1,0.5848,1,1,0.5398815865442153
LIC-20260192,Tribunal de Justiça,Consultoria em Governança,101365.84,5,63,0,0,0,0.4628,0,0,0.006198907092664735
LIC-20260193,Tribunal de Justiça,Consultoria em Governança,426842.44,10,61,0,1,1,0.6783,0,0,0.0021698762809220823
LIC-20260194,Ministério da Educação,Equipamentos de TI,247862.16,9,35,0,0,0,0.8862,0,0,0.01422852694389633
LIC-20260195,Secretaria de Infraestrutura,Segurança da Informação,404661.18,7,7,0,0,0,0.4422,0,0,0.05334206668309896
LIC-20260196,Ministério da Tecnologia,Serviços de Cloud Computing,101831.78,9,42,0,1,0,0.6384,0,0,0.004273191484547797
LIC-20260197,Ministério da Tecnologia,Serviços de Cloud Computing,211978.49,6,35,0,0,0,0.9184,0,0,0.013737588170557011
LIC-20260198,Secretaria de Infraestrutura,Desenvolvimento de Software,63332.82,3,29,0,0,0,0.6461,0,0,0.003953183755411909
LIC-20260199,Ministério da Tecnologia,Consultoria em Governança,224106.11,5,23,0,0,0,0.9219,0,0,0.015039659919230437
LIC-20260200,Governo Estadual,Suporte Técnico e Helpdesk,2419492.71,9,57,0,0,0,0.5288,0,0,0.002879916297765616
LIC-20260201,Tribunal de Justiça,Equipamentos de TI,50000.0,4,73,0,0,0,0.6752,0,0,0.005840013519749308
LIC-20260202,Ministério da Tecnologia,Consultoria em Governança,56963.69,4,49,1,1,0,0.8526,1,1,0.8406979915093631
LIC-20260203,Ministério da Educação,Suporte Técnico e Helpdesk,97355.24,5,39,0,0,1,0.5914,0,0,0.004117956498337011
LIC-20260204,Ministério da Saúde,Suporte Técnico e Helpdesk,50000.0,3,36,0,0,0,0.5931,0,0,0.0036442245517788272
LIC-20260205,Tribunal de Justiça,Serviços de Cloud Computing,62521.76,7,36,0,0,1,0.7346,0,0,0.003910592085026874
LIC-20260206,Defensoria Pública,Equipamentos de TI,50000.0,2,70,0,0,0,0.6245,0,0,0.09536323536311406
LIC-20260207,Prefeitura Metropolitana,Serviços de Cloud Computing,69141.94,6,56,0,0,0,0.5202,0,0,0.004788407171091865
LIC-20260208,Tribunal de Justiça,Desenvolvimento de Software,212429.03,11,44,0,1,0,0.6779,0,0,0.0035286224506132944
LIC-20260209,Tribunal de Justiça,Suporte Técnico e Helpdesk,57800.66,3,37,1,0,0,0.8082,1,1,0.7696855239294464
LIC-20260210,Governo Estadual,Equipamentos de TI,297226.97,9,3,0,0,0,0.8389,0,0,0.3308617203238622
LIC-20260211,Ministério da Educação,Equipamentos de TI,547277.95,4,63,0,1,0,0.9502,0,0,0.02562594819913762
LIC-20260212,Governo Estadual,Consultoria em Governança,62891.02,9,41,1,0,0,0.7111,1,0,0.46293596669166065
LIC-20260213,Secretaria de Infraestrutura,Consultoria em Governança,552684.16,3,48,0,1,1,0.9189,0,0,0.024933618034906235
LIC-20260214,Governo Estadual,Desenvolvimento de Software,313451.69,5,40,0,1,0,0.8465,0,0,0.014847233194643275
LIC-20260215,Ministério da Educação,Equipamentos de TI,50000.0,7,47,0,0,0,0.7106,0,0,0.005296217458245409
LIC-20260216,Ministério da Tecnologia,Segurança da Informação,2122612.94,2,52,0,1,0,0.8116,1,1,0.7289614274059582
