uasg,orgao,porte,data,volume_contratado_ti_milhares,quantidade_processos,pressao_controle_tcu,volume_impugnacoes,latencia_media_dias,pressao_tcu_lag1,pressao_tcu_lag2
150002,Instituto Federal Região 3,Pequeno,2024-09-01,753.08,3,6,3,168.4,6,2
150002,Instituto Federal Região 3,Pequeno,2024-10-01,2176.23,5,3,0,139.74,6,6
150002,Instituto Federal Região 3,Pequeno,2024-11-01,554.05,5,5,1,148.95,3,6
150002,Instituto Federal Região 3,Pequeno,2024-12-01,106.9,1,3,2,133.65,5,3
150002,Instituto Federal Região 3,Pequeno,2025-01-01,299.56,1,2,0,129.73,3,5
150002,Instituto Federal Região 3,Pequeno,2025-02-01,54.41,1,5,2,183.2,2,3
150002,Instituto Federal Região 3,Pequeno,2025-03-01,54.85,1,2,1,119.37,5,2
150002,Instituto Federal Região 3,Pequeno,2025-04-01,359.74,2,6,1,166.67,2,5
150002,Instituto Federal Região 3,Pequeno,2025-05-01,609.76,2,9,1,189.99,6,2
150002,Instituto Federal Região 3,Pequeno,2025-06-01,322.09,1,8,1,189.57,9,6
150002,Instituto Federal Região 3,Pequeno,2025-07-01,168.61,1,1,0,112.08,8,9
150002,Instituto Federal Região 3,Pequeno,2025-08-01,156.02,1,4,1,158.59,1,8
150002,Instituto Federal Região 3,Pequeno,2025-09-01,98.55,1,4,1,138.18,4,1
150002,Instituto Federal Região 3,Pequeno,2025-10-01,2188.14,7,4,4,156.78,4,4
150002,Instituto Federal Região 3,Pequeno,2025-11-01,2428.62,6,3,1,117.93,4,4
150002,Instituto Federal Região 3,Pequeno,2025-12-01,463.7,4,8,3,168.39,3,4
150003,Instituto Federal Região 4,Pequeno,2021-01-01,533.79,2,0,0,128.96,4,4
150003,Instituto Federal Região 4,Pequeno,2021-02-01,703.87,3,2,1,151.99,0,4
150003,Instituto Federal Região 4,Pequeno,2021-03-01,131.61,1,0,0,120.3,2,0
150003,Instituto Federal Região 4,Pequeno,2021-04-01,52.09,1,3,0,132.12,0,2
150003,Instituto Federal Região 4,Pequeno,2021-05-01,172.24,1,1,1,115.6,3,0
150003,Instituto Federal Região 4,Pequeno,2021-06-01,153.86,3,6,1,161.7,1,3
150003,Instituto Federal Região 4,Pequeno,2021-07-01,75.94,1,1,0,136.21,6,1
150003,Instituto Federal Região 4,Pequeno,2021-08-01,242.47,3,2,1,128.83,1,6
150003,Instituto Federal Região 4,Pequeno,2021-09-01,108.98,1,3,1,117.51,2,1
150003,Instituto Federal Região 4,Pequeno,2021-10-01,1446.45,5,1,0,124.91,3,2
150003,Instituto Federal Região 4,Pequeno,2021-11-01,866.53,7,4,2,147.48,1,3
150003,Instituto Federal Região 4,Pequeno,2021-12-01,382.68,1,1,0,110.85,4,1
150003,Instituto Federal Região 4,Pequeno,2022-01-01,233.27,1,2,0,146.11,1,4
150003,Instituto Federal Região 4,Pequeno,2022-02-01,248.58,1,1,0,129.24,2,1
150003,Instituto Federal Região 4,Pequeno,2022-03-01,154.68,1,3,1,138.9,1,2
150003,Instituto Federal Região 4,Pequeno,2022-04-01,360.68,1,2,1,129.57,3,1
150003,Instituto Federal Região 4,Pequeno,2022-05-01,188.94,1,0,0,90.61,2,3
150003,Instituto Federal Região 4,Pequeno,2022-06-01,1369.31,4,4,1,155.27,0,2
150003,Instituto Federal Região 4,Pequeno,2022-07-01,110.5,1,3,1,133.23,4,0
150003,Instituto Federal Região 4,Pequeno,2022-08-01,788.11,2,1,0,115.98,3,4
150003,Instituto Federal Região 4,Pequeno,2022-09-01,856.56,2,4,0,133.87,1,3
150003,Instituto Federal Região 4,Pequeno,2022-10-01,424.7,6,4,2,151.94,4,1
150003,Instituto Federal Região 4,Pequeno,2022-11-01,659.76,5,2,0,107.98,4,4
150003,Instituto Federal Região 4,Pequeno,2022-12-01,471.15,2,4,0,137.0,2,4
150003,Instituto Federal Região 4,Pequeno,2023-01-01,734.28,2,3,2,144.25,4,2
150003,Instituto Federal Região 4,Pequeno,2023-02-01,886.82,2,6,2,186.01,3,4
150003,Instituto Federal Região 4,Pequeno,2023-03-01,296.12,1,1,1,121.1,6,3
150003,Instituto Federal Região 4,Pequeno,2023-04-01,1208.31,3,3,1,130.39,1,6
150003,Instituto Federal Região 4,Pequeno,2023-05-01,786.54,2,2,1,124.76,3,1
150003,Instituto Federal Região 4,Pequeno,2023-06-01,119.5,1,8,2,191.17,2,3
150003,Instituto Federal Região 4,Pequeno,2023-07-01,310.46,1,3,0,148.42,8,2
150003,Instituto Federal Região 4,Pequeno,2023-08-01,119.95,1,6,1,162.62,3,8
150003,Instituto Federal Região 4,Pequeno,2023-09-01,796.96,2,7,0,173.61,6,3
150003,Instituto Federal Região 4,Pequeno,2023-10-01,1979.13,5,6,1,166.64,7,6
150003,Instituto Federal Região 4,Pequeno,2023-11-01,2485.85,6,3,2,120.42,6,7
150003,Instituto Federal Região 4,Pequeno,2023-12-01,798.2,2,2,1,117.2,3,6
150003,Instituto Federal Região 4,Pequeno,2024-01-01,289.34,1,3,0,135.42,2,3
150003,Instituto Federal Região 4,Pequeno,2024-02-01,326.35,4,3,0,148.13,3,2
150003,Instituto Federal Região 4,Pequeno,2024-03-01,287.92,3,2,0,129.78,3,3
150003,Instituto Federal Região 4,Pequeno,2024-04-01,359.55,1,6,0,170.31,2,3
150003,Instituto Federal Região 4,Pequeno,2024-05-01,430.21,1,7,0,186.87,6,2
150003,Instituto Federal Região 4,Pequeno,2024-06-01,239.0,1,7,0,168.09,7,6
150003,Instituto Federal Região 4,Pequeno,2024-07-01,294.31,1,1,1,111.45,7,7
150003,Instituto Federal Região 4,Pequeno,2024-08-01,64.69,1,3,0,134.84,1,7
150003,Instituto Federal Região 4,Pequeno,2024-09-01,95.54,1,6,1,166.91,3,1
150003,Instituto Federal Região 4,Pequeno,2024-10-01,1072.04,5,6,1,159.18,6,3
150003,Instituto Federal Região 4,Pequeno,2024-11-01,574.77,6,7,1,166.6,6,6
150003,Instituto Federal Região 4,Pequeno,2024-12-01,383.82,2,3,0,122.67,7,6
150003,Instituto Federal Região 4,Pequeno,2025-01-01,218.73,4,5,0,158.35,3,7
150003,Instituto Federal Região 4,Pequeno,2025-02-01,187.27,1,4,0,159.87,5,3
150003,Instituto Federal Região 4,Pequeno,2025-03-01,396.94,2,7,3,188.45,4,5
150003,Instituto Federal Região 4,Pequeno,2025-04-01,111.78,1,5,1,142.71,7,4
150003,Instituto Federal Região 4,Pequeno,2025-05-01,292.31,1,3,0,144.38,5,7
150003,Instituto Federal Região 4,Pequeno,2025-06-01,65.6,1,8,2,176.93,3,5
150003,Instituto Federal Região 4,Pequeno,2025-07-01,96.46,1,2,1,135.69,8,3
150003,Instituto Federal Região 4,Pequeno,2025-08-01,271.48,1,9,0,184.14,2,8
150003,Instituto Federal Região 4,Pequeno,2025-09-01,282.19,1,9,0,170.67,9,2
150003,Instituto Federal Região 4,Pequeno,2025-10-01,592.05,9,4,1,154.18,9,9
150003,Instituto Federal Região 4,Pequeno,2025-11-01,2654.37,6,8,3,169.6,4,9
150003,Instituto Federal Região 4,Pequeno,2025-12-01,792.46,2,5,1,127.32,8,4
150004,Instituto Federal Região 5,Pequeno,2021-01-01,388.79,1,4,0,157.44,3,3
150004,Instituto Federal Região 5,Pequeno,2021-02-01,841.11,2,1,0,142.57,4,3
150004,Instituto Federal Região 5,Pequeno,2021-03-01,386.97,2,0,0,106.72,1,4
150004,Instituto Federal Região 5,Pequeno,2021-04-01,381.39,1,2,1,125.22,0,1
150004,Instituto Federal Região 5,Pequeno,2021-05-01,886.32,3,1,2,131.58,2,0
150004,Instituto Federal Região 5,Pequeno,2021-06-01,212.84,1,3,0,139.1,1,2
150004,Instituto Federal Região 5,Pequeno,2021-07-01,169.83,1,0,0,110.24,3,1
150004,Instituto Federal Região 5,Pequeno,2021-08-01,158.32,2,0,0,114.87,0,3
150004,Instituto Federal Região 5,Pequeno,2021-09-01,178.6,1,4,0,150.64,0,0
150004,Instituto Federal Região 5,Pequeno,2021-10-01,3243.71,8,1,1,121.15,4,0
150004,Instituto Federal Região 5,Pequeno,2021-11-01,2229.5,6,2,1,117.95,1,4
150004,Instituto Federal Região 5,Pequeno,2021-12-01,163.71,1,2,0,111.48,2,1
150004,Instituto Federal Região 5,Pequeno,2022-01-01,160.47,1,1,0,128.49,2,2
150004,Instituto Federal Região 5,Pequeno,2022-02-01,346.36,1,1,0,133.62,1,2
150004,Instituto Federal Região 5,Pequeno,2022-03-01,223.53,1,1,1,124.8,1,1
150004,Instituto Federal Região 5,Pequeno,2022-04-01,103.49,2,3,1,141.25,1,1
150004,Instituto Federal Região 5,Pequeno,2022-05-01,277.1,4,2,0,131.93,3,1
150004,Instituto Federal Região 5,Pequeno,2022-06-01,197.93,1,6,0,170.63,2,3
150004,Instituto Federal Região 5,Pequeno,2022-07-01,804.13,2,0,1,111.24,6,2
150004,Instituto Federal Região 5,Pequeno,2022-08-01,345.44,1,2,0,143.83,0,6
150004,Instituto Federal Região 5,Pequeno,2022-09-01,94.6,1,5,1,152.35,2,0
150004,Instituto Federal Região 5,Pequeno,2022-10-01,598.48,6,3,0,134.2,5,2
150004,Instituto Federal Região 5,Pequeno,2022-11-01,2517.18,7,2,2,105.95,3,5
150004,Instituto Federal Região 5,Pequeno,2022-12-01,98.08,1,3,1,128.61,2,3
150004,Instituto Federal Região 5,Pequeno,2023-01-01,50.54,1,1,0,123.59,3,2
150004,Instituto Federal Região 5,Pequeno,2023-02-01,513.5,3,4,0,147.26,1,3
150004,Instituto Federal Região 5,Pequeno,2023-03-01,73.14,1,1,0,117.09,4,1
150004,Instituto Federal Região 5,Pequeno,2023-04-01,106.32,1,6,0,174.29,1,4
150004,Instituto Federal Região 5,Pequeno,2023-05-01,332.4,2,3,1,144.81,6,1
150004,Instituto Federal Região 5,Pequeno,2023-06-01,302.37,1,6,0,159.11,3,6
150004,Instituto Federal Região 5,Pequeno,2023-07-01,159.88,1,3,0,131.26,6,3
150004,Instituto Federal Região 5,Pequeno,2023-08-01,133.67,1,4,0,145.8,3,6
150004,Instituto Federal Região 5,Pequeno,2023-09-01,674.4,3,4,1,135.42,4,3
150004,Instituto Federal Região 5,Pequeno,2023-10-01,802.68,7,1,6,147.4,4,4
150004,Instituto Federal Região 5,Pequeno,2023-11-01,707.35,5,4,2,137.35,1,4
150004,Instituto Federal Região 5,Pequeno,2023-12-01,61.67,1,3,0,113.84,4,1
150004,Instituto Federal Região 5,Pequeno,2024-01-01,1252.11,3,3,1,166.06,3,4
150004,Instituto Federal Região 5,Pequeno,2024-02-01,417.3,1,6,0,171.2,3,3
150004,Instituto Federal Região 5,Pequeno,2024-03-01,162.99,1,2,0,128.71,6,3
150004,Instituto Federal Região 5,Pequeno,2024-04-01,721.6,3,6,1,163.68,2,6
150004,Instituto Federal Região 5,Pequeno,2024-05-01,213.76,1,3,0,135.59,6,2
150004,Instituto Federal Região 5,Pequeno,2024-06-01,202.29,2,9,1,196.38,3,6
150004,Instituto Federal Região 5,Pequeno,2024-07-01,142.17,1,1,0,109.8,9,3
150004,Instituto Federal Região 5,Pequeno,2024-08-01,693.52,2,0,0,101.31,1,9
150004,Instituto Federal Região 5,Pequeno,2024-09-01,162.76,2,9,2,208.81,0,1
150004,Instituto Federal Região 5,Pequeno,2024-10-01,1678.85,5,6,1,173.03,9,0
150004,Instituto Federal Região 5,Pequeno,2024-11-01,1693.23,9,4,4,136.51,6,9
150004,Instituto Federal Região 5,Pequeno,2024-12-01,60.08,1,8,2,170.72,4,6
150004,Instituto Federal Região 5,Pequeno,2025-01-01,141.33,2,2,1,150.21,8,4
150004,Instituto Federal Região 5,Pequeno,2025-02-01,166.02,1,7,0,184.9,2,8
150004,Instituto Federal Região 5,Pequeno,2025-03-01,298.52,1,8,1,173.97,7,2
150004,Instituto Federal Região 5,Pequeno,2025-04-01,324.18,1,3,0,124.68,8,7
150004,Instituto Federal Região 5,Pequeno,2025-05-01,271.65,3,2,0,139.16,3,8
150004,Instituto Federal Região 5,Pequeno,2025-06-01,211.44,1,7,1,169.74,2,3
150004,Instituto Federal Região 5,Pequeno,2025-07-01,312.7,1,5,0,145.13,7,2
150004,Instituto Federal Região 5,Pequeno,2025-08-01,289.62,1,3,0,127.47,5,7
150004,Instituto Federal Região 5,Pequeno,2025-09-01,289.07,1,6,2,160.42,3,5
150004,Instituto Federal Região 5,Pequeno,2025-10-01,280.79,5,6,3,166.26,6,3
150004,Instituto Federal Região 5,Pequeno,2025-11-01,2445.48,7,6,0,134.08,6,6
